Competizione,Turno,Data,Casa,Ospite,Lato,Squadra,Modulo,Gruppo,Ordine,Numero,Giocatore,Ruolo,Rating,Entrato al,Uscito al,ID partita
Coppa di Francia,32esimi di finale,19.12.2025,Canet Roussillon,Montpellier,Casa,Canet Roussillon,4-2-3-1,Titolare,1,1,Graves D.,Portiere,7.6,,,ENdFhWIr
Coppa di Francia,32esimi di finale,19.12.2025,Canet Roussillon,Montpellier,Casa,Canet Roussillon,4-2-3-1,Titolare,2,2,Zerkoune A.,,7.2,,,ENdFhWIr
Coppa di Francia,32esimi di finale,19.12.2025,Canet Roussillon,Montpellier,Casa,Canet Roussillon,4-2-3-1,Titolare,3,6,Algrin T.,,6.1,,,ENdFhWIr
Coppa di Francia,32esimi di finale,19.12.2025,Canet Roussillon,Montpellier,Casa,Canet Roussillon,4-2-3-1,Titolare,4,5,Decker V.,,6.2,,,ENdFhWIr
Coppa di Francia,32esimi di finale,19.12.2025,Canet Roussillon,Montpellier,Casa,Canet Roussillon,4-2-3-1,Titolare,5,3,Bonneil P.,,6.4,,,ENdFhWIr
Coppa di Francia,32esimi di finale,19.12.2025,Canet Roussillon,Montpellier,Casa,Canet Roussillon,4-2-3-1,Titolare,6,4,Thomas R.,,6.1,,86',ENdFhWIr
Coppa di Francia,32esimi di finale,19.12.2025,Canet Roussillon,Montpellier,Casa,Canet Roussillon,4-2-3-1,Titolare,7,8,Fievez T.,,6.4,,,ENdFhWIr
Coppa di Francia,32esimi di finale,19.12.2025,Canet Roussillon,Montpellier,Casa,Canet Roussillon,4-2-3-1,Titolare,8,11,Chaubet L.,,5.5,,60',ENdFhWIr
Coppa di Francia,32esimi di finale,19.12.2025,Canet Roussillon,Montpellier,Casa,Canet Roussillon,4-2-3-1,Titolare,9,7,El Khiar S.,,6.7,,61',ENdFhWIr
Coppa di Francia,32esimi di finale,19.12.2025,Canet Roussillon,Montpellier,Casa,Canet Roussillon,4-2-3-1,Titolare,10,10,Kingue B.,,5.5,,,ENdFhWIr
Coppa di Francia,32esimi di finale,19.12.2025,Canet Roussillon,Montpellier,Casa,Canet Roussillon,4-2-3-1,Titolare,11,9,Mboup I.,,5.5,,78',ENdFhWIr
Coppa di Francia,32esimi di finale,19.12.2025,Canet Roussillon,Montpellier,Casa,Canet Roussillon,4-2-3-1,Panchina,1,12,Akakpo C.,,,,,ENdFhWIr
Coppa di Francia,32esimi di finale,19.12.2025,Canet Roussillon,Montpellier,Casa,Canet Roussillon,4-2-3-1,Panchina,2,14,Baudin H.,,,,,ENdFhWIr
Coppa di Francia,32esimi di finale,19.12.2025,Canet Roussillon,Montpellier,Casa,Canet Roussillon,4-2-3-1,Panchina,3,15,Dembele Y.,,6.7,78',,ENdFhWIr
Coppa di Francia,32esimi di finale,19.12.2025,Canet Roussillon,Montpellier,Casa,Canet Roussillon,4-2-3-1,Panchina,4,16,Diamanka A.,Portiere,,,,ENdFhWIr
Coppa di Francia,32esimi di finale,19.12.2025,Canet Roussillon,Montpellier,Casa,Canet Roussillon,4-2-3-1,Panchina,5,13,Dorso F.,,,,,ENdFhWIr
Coppa di Francia,32esimi di finale,19.12.2025,Canet Roussillon,Montpellier,Casa,Canet Roussillon,4-2-3-1,Panchina,6,19,Mahamat B.,,5.9,60',,ENdFhWIr
Coppa di Francia,32esimi di finale,19.12.2025,Canet Roussillon,Montpellier,Casa,Canet Roussillon,4-2-3-1,Panchina,7,17,Malpon K.,,6.3,61',,ENdFhWIr
Coppa di Francia,32esimi di finale,19.12.2025,Canet Roussillon,Montpellier,Casa,Canet Roussillon,4-2-3-1,Panchina,8,18,Pujos J.,,,,,ENdFhWIr
Coppa di Francia,32esimi di finale,19.12.2025,Canet Roussillon,Montpellier,Casa,Canet Roussillon,4-2-3-1,Panchina,9,20,Saint-Germain C.,,,86',,ENdFhWIr
Coppa di Francia,32esimi di finale,19.12.2025,Canet Roussillon,Montpellier,Ospite,Montpellier,4-2-3-1,Titolare,1,1,Michel M.,Portiere,6.9,,,ENdFhWIr
Coppa di Francia,32esimi di finale,19.12.2025,Canet Roussillon,Montpellier,Ospite,Montpellier,4-2-3-1,Titolare,2,2,Tchato E.,,7.1,,,ENdFhWIr
Coppa di Francia,32esimi di finale,19.12.2025,Canet Roussillon,Montpellier,Ospite,Montpellier,4-2-3-1,Titolare,3,5,Omeragic B.,Capitano,6.7,,,ENdFhWIr
Coppa di Francia,32esimi di finale,19.12.2025,Canet Roussillon,Montpellier,Ospite,Montpellier,4-2-3-1,Titolare,4,6,Jullien C.,,7.2,,,ENdFhWIr
