Competizione,Turno,Data,Casa,Ospite,Gol casa 90,Gol ospite 90,Gol casa dts,Gol ospite dts,Rigori casa,Rigori ospite,Risultato (esteso),Nota andata/ritorno,Stat giocatori disponibili,ID partita
Coppa di Francia,7° turno,14.11.2025,Olympique de Villefontaine,Grenoble,0,3,,,,,0-3,,No,Ac6vAcVs
Coppa di Francia,7° turno,14.11.2025,Cannes,Annecy,1,2,,,,,1-2,,No,QPU7FJ7K
Coppa di Francia,7° turno,15.11.2025,Magenta,Mulhouse,0,3,,,,,0-3,,No,OvB3zb6r
Coppa di Francia,7° turno,15.11.2025,ASPTT Dijon,Le Puy-en-Velay,0,1,,,,,0-1,,No,hnqFjypC
Coppa di Francia,7° turno,15.11.2025,Auby,Amiens,0,3,,,,,0-3,,No,EZ27MI1L
Coppa di Francia,7° turno,15.11.2025,Avranches,Paris 13 Atl.,0,0,,,5,3,"0-0, poi rigori 5-3",,No,GvkfxQ74
Coppa di Francia,7° turno,15.11.2025,OCPAM,Reims,0,1,,,,,0-1,,No,j1HC0yu2
Coppa di Francia,7° turno,15.11.2025,Aizenay,Troyes,0,3,,,,,0-3,,No,WIPmuUCO
Coppa di Francia,7° turno,15.11.2025,Lavaur,Rodez,1,3,,,,,1-3,,No,vaoEzA7d
Coppa di Francia,7° turno,15.11.2025,US Chateau-Malo,Bastia,0,6,,,,,0-6,,No,vuLCPnOb
Coppa di Francia,7° turno,15.11.2025,Pontarlier,Sochaux,2,2,,,5,6,"2-2, poi rigori 5-6",,No,x6en4lF4
Coppa di Francia,7° turno,15.11.2025,Sarreguemines,Furiani Agliani,5,3,,,,,5-3,,No,UaYKmTUN
Coppa di Francia,7° turno,15.11.2025,St. Colomban Locmine,Guingamp,1,2,,,,,1-2,,No,ns8jLnk3
Coppa di Francia,7° turno,15.11.2025,Villars-l'Isle,Sarre Union,1,1,,,3,4,"1-1, poi rigori 3-4",,No,pdvWh6M9
Coppa di Francia,7° turno,15.11.2025,Andrezieux,Hauts Lyonnais,1,1,,,3,4,"1-1, poi rigori 3-4",,No,WCWOuKVg
Coppa di Francia,7° turno,15.11.2025,Les Bleuets,Concarneau,0,3,,,,,0-3,,No,UPa7H4lS
Coppa di Francia,7° turno,15.11.2025,FC Rhone,Grasse,1,1,,,4,3,"1-1, poi rigori 4-3",,No,IN9n8y0f
Coppa di Francia,7° turno,15.11.2025,Orvault,Les Herbiers,1,3,,,,,1-3,,No,YBoXXPY8
Coppa di Francia,7° turno,15.11.2025,APM Metz,Fleury-Merogis,2,2,,,5,4,"2-2, poi rigori 5-4",,No,I79bOvX8
Coppa di Francia,7° turno,15.11.2025,Atlas Paillade,Bourg en Bresse,0,2,,,,,0-2,,No,QZibfJpm
Coppa di Francia,7° turno,15.11.2025,Bayeux,Caen,3,2,,,,,3-2,,No,z7ELNQhB
Coppa di Francia,7° turno,15.11.2025,Cambrai,Feignies-Aulnoye,0,4,,,,,0-4,,No,prRc66BN
Coppa di Francia,7° turno,15.11.2025,Challans,Pontivy,0,2,,,,,0-2,,No,QeowCrCk
Coppa di Francia,7° turno,15.11.2025,FC 2 Rives 82,Mazeres,0,1,,,,,0-1,,No,2BZ4MjWO
Coppa di Francia,7° turno,15.11.2025,Fontenay,Chamalieres,0,0,,,4,3,"0-0, poi rigori 4-3",,No,QF1WK5QG
Coppa di Francia,7° turno,15.11.2025,Besancon,Thionville,4,0,,,,,4-0,,No,EX9ir7ho
Coppa di Francia,7° turno,15.11.2025,IC Croix,Racing CFF,2,2,,,7,6,"2-2, poi rigori 7-6",,No,EgRJ5lw3
Coppa di Francia,7° turno,15.11.2025,Granville,Dinan Lehon,3,1,,,,,3-1,,No,lhm2z4xH
Coppa di Francia,7° turno,15.11.2025,Ivry,Le Mans,1,1,,,2,4,"1-1, poi rigori 2-4",,No,KCeovnwh
Coppa di Francia,7° turno,15.11.2025,Lapalisse,Stade Poitevin,1,2,,,,,1-2,,No,b5RusjrC
Coppa di Francia,7° turno,15.11.2025,Loon Plage,Bethune,1,1,,,5,6,"1-1, poi rigori 5-6",,No,rZIz26xS
Coppa di Francia,7° turno,15.11.2025,Le Cellier Mauves,Laval,0,6,,,,,0-6,,No,fRZuW33L
Coppa di Francia,7° turno,15.11.2025,Montceau,L'Etrat La Tour,2,1,,,,,2-1,,No,ITUWwb06
Coppa di Francia,7° turno,15.11.2025,Montreal-la-Cluse,Chalon,0,3,,,,,0-3,,No,boBnYSTp
Coppa di Francia,7° turno,15.11.2025,Montreuil,Bandrele,1,0,,,,,1-0,,No,86o2R7Et
Coppa di Francia,7° turno,15.11.2025,Oissel,Quevilly Rouen,2,2,,,5,4,"2-2, poi rigori 5-4",,No,8dvYsood
Coppa di Francia,7° turno,15.11.2025,Saint-Jean,Angouleme,1,0,,,,,1-0,,No,IN9EtfHt
Coppa di Francia,7° turno,15.11.2025,Sable,Saint-Malo,0,0,,,2,4,"0-0, poi rigori 2-4",,No,6RM4R8gn
Coppa di Francia,7° turno,15.11.2025,Orleans,Bayonne,3,0,,,,,3-0,,No,fkISMaQ7
Coppa di Francia,7° turno,15.11.2025,Stade Quimperlois,Ancienne Chateau-Gontier,0,9,,,,,0-9,,No,MNvnAMt2
Coppa di Francia,7° turno,15.11.2025,Strasbourg Koenigshoffen,Biesheim,2,3,,,,,2-3,,No,UL9e06ET
Coppa di Francia,7° turno,15.11.2025,Seyssinet,Aubagne,0,0,,,4,3,"0-0, poi rigori 4-3",,No,AR9KQAfC
Coppa di Francia,7° turno,15.11.2025,Trelissac,Pau FC,0,2,,,,,0-2,,No,Ek3NvYog
Coppa di Francia,7° turno,15.11.2025,Steenvoorde,Chambly,1,1,,,4,2,"1-1, poi rigori 4-2",,No,GbagkThM
Coppa di Francia,7° turno,15.11.2025,Yvetot,ASPTT Caen,2,1,,,,,2-1,,No,Mk7w67zG
Coppa di Francia,7° turno,15.11.2025,Biars-Bretenoux,Chateauroux,0,2,,,,,0-2,,No,OSxk8StB
Coppa di Francia,7° turno,15.11.2025,Carnoux F.C.,Pirae,5,1,,,,,5-1,,No,0nwMiGFD
Coppa di Francia,7° turno,15.11.2025,Espoir,Eveil,0,0,,,5,4,"0-0, poi rigori 5-4",,No,YHUGfVbS
Coppa di Francia,7° turno,15.11.2025,Premontre,Chantilly,0,3,,,,,0-3,,No,tSRS0pZp
Coppa di Francia,7° turno,15.11.2025,Montmorillon,Beaucouze,0,1,,,,,0-1,,No,UoT32cAk
Coppa di Francia,7° turno,15.11.2025,SS Allinges,Istres,1,2,,,,,1-2,,No,W6o5ebGl
Coppa di Francia,7° turno,15.11.2025,Seignosse Capbreton,Marmande,2,3,,,,,2-3,,No,vXluSf2m
Coppa di Francia,7° turno,15.11.2025,Etoile Matoury,Le Geldar,1,1,,,2,3,"1-1, poi rigori 2-3",,No,vePoFU5F
Coppa di Francia,7° turno,15.11.2025,Auch,Canet Roussillon,1,4,,,,,1-4,,No,0nwlQYWa
