Competizione,Turno,Data,Casa,Ospite,Lato,Squadra,Giocatore,Ruolo,Stato,Rating,ID partita,PENALTIES_COMMITTED,PENALTY_SHOOTOUT_ATTEMPTS_SAVES,PENALTY_SHOOTOUT_ATTEMPTS_SCORED,HIT_WOODWORK,TURNOVERS,CHALLENGE_LOST,PENALTIES_NOT_CONVERTED,PENALTY_SHOOTOUT_ATTEMPTS_NOT_CONVERTED,GOALS_PREVENTED_NO_PENALTIES,PASSES_OPEN_PLAY_ACCURACY,PASSES_OPEN_PLAY_ACCURATE,PASSES_OPEN_PLAY_TOTAL,DUELS_EFFICIENCY,TACKLE_LAST_MAN,CLEARANCES_OFF_LINE,BIG_CHANCES_SAVED,PENALTIES_SAVED,GOALS_PENALTY,PENALTIES_WON,ASSISTS_GOAL,BIG_CHANCES_CREATED,BIG_CHANCES_MISSED,CARDS_RED,CARDS_YELLOW,CLEARANCES,CROSSES_ACCURACY,CROSSES_TOTAL,CROSSES_ACCURATE,DRIBBLES_EFFICIENCY,DUELS_AERIAL_TOTAL,DRIBBLES_TOTAL,DRIBBLES_WON,DUELS_AERIAL_EFFICIENCY,DUELS_AERIAL_WON,DUELS_GROUND_EFFICIENCY,DUELS_GROUND_TOTAL,DUELS_GROUND_WON,DUELS_TOTAL,ERRORS_LEAD_TO_GOAL,ERRORS_LEAD_TO_SHOT,EXPECTED_ASSISTS,EXPECTED_GOALS,EXPECTED_GOALS_ON_TARGET,EXPECTED_GOALS_ON_TARGET_FACED,FOULS_COMMITTED,FOULS_SUFFERED,GOALS,GOALS_CONCEDED,GOALS_OWN,GOALS_PREVENTED,INTERCEPTIONS,KEEPER_SWEEPER_TOTAL,KEEPER_THROWS_TOTAL,LONG_BALLS_ACCURACY,LONG_BALLS_TOTAL,LONG_BALLS_ACCURATE,MATCH_MINUTES_PLAYED,OFFSIDES,PASSES_ACCURACY,PASSES_TOTAL,PASSES_ACCURATE,PASSES_FINAL_THIRD_ACCURACY,PASSES_FINAL_THIRD_TOTAL,PASSES_FINAL_THIRD_ACCURATE,PUNCHES_TOTAL,SAVES_TOTAL,SHOTS_BLOCKED,SHOTS_BOX_IN,SHOTS_BOX_OUT,SHOTS_HEAD,SHOTS_OFF_TARGET,SHOTS_ON_TARGET,SHOTS_TOTAL,TACKLES_EFFICIENCY,TACKLES_TOTAL,TACKLES_WON,TOUCHES_BOX_OPPOSITE,TOUCHES_TOTAL,SHOTS_FACED,CARDS_YELLOW_SECOND,MATCH_ON_PITCH_LIVE,MATCH_MINUTES_PLAYED_LIVE,KEY_PASSES,BOX_ENTRIES_EFFICIENCY,BOX_ENTRIES_ACCURATE,BOX_ENTRIES_TOTAL,THROUGH_BALLS,LAYOFFS_ACCURACY,LAYOFFS_ACCURATE,LAYOFFS_TOTAL,FINAL_THIRD_ENTRIES_TOTAL,FINAL_THIRD_ENTRIES_SUCCESSFUL,FINAL_THIRD_ENTRIES_EFFICIENCY,BALL_RECOVERIES,HIGH_CLAIM_EFFICIENCY,HIGH_CLAIM_TOTAL,HIGH_CLAIM_SAVED,DUELS_WON,OUTFIELDER_BLOCKS,PROGRESSIVE_CARRIES,PROGRESSIVE_PASSES_TOTAL,PROGRESSIVE_PASSES_ACCURACY,PROGRESSIVE_PASSES_ACCURATE
Coppa di Francia,32esimi di finale,19.12.2025,IC Croix,Reims,Casa,IC Croix,Ouraghi Kamil,Terzino,Titolare,4.3,ryzrBvZ9,1,0,0,0,1,1,0,0,-1.8589,0.65,13,20,0.142857,0,0,0,0,0,0,0,0,0,0,0,1,0.0,3,0,0.0,1,1,0,0.0,0,0.166667,6,1,7,0,1,0.157435,0.0,0.0,2.1411,2,0,0,4,0,-1.8589,2,0,0,0.5,2,1,90,0,0.65,20,13,0.666667,6,4,0,0,0,0,0,0,0,0,0,0.0,1,0,1,43,4,0,0,90,0,0.0,0,3,0,0.0,0,0,5,0,0.0,0,0.0,0,0,1,0,0,0,0.0,0
Coppa di Francia,32esimi di finale,19.12.2025,IC Croix,Reims,Casa,IC Croix,Robert Hugo,Difensore centrale,Titolare,4.4,ryzrBvZ9,0,0,0,0,0,0,0,0,-2.2939,0.666667,8,12,0.0,0,0,0,0,0,0,0,0,0,1,0,5,0.0,0,0,0.0,1,0,0,0.0,0,0.0,1,0,2,0,0,0.004468,0.0,0.0,0.7061,1,0,0,3,0,-2.2939,0,0,0,0.25,4,1,45,0,0.714286,14,10,0.333333,3,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,20,3,0,0,45,0,0.0,0,0,0,0.0,0,0,2,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0
Coppa di Francia,32esimi di finale,19.12.2025,IC Croix,Reims,Casa,IC Croix,Habbas Ryad,Attaccante,Titolare,6.5,ryzrBvZ9,0,0,0,0,7,0,0,0,-1.8589,0.761905,16,21,0.571429,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.75,1,4,3,1.0,1,0.538462,13,7,14,0,0,0.018261,0.0531,0.0,2.1411,2,2,0,4,0,-1.8589,0,0,0,0.571429,7,4,90,0,0.807692,26,21,0.666667,12,8,0,0,1,0,2,0,1,0,2,0.5,2,1,1,48,4,0,0,90,1,0.0,0,0,0,0.0,0,0,7,0,0.0,3,0.0,0,0,8,0,0,0,0.0,0
Coppa di Francia,32esimi di finale,19.12.2025,IC Croix,Reims,Casa,IC Croix,Vanbaleghem Valentin,Centrocampista,Titolare,6.3,ryzrBvZ9,0,0,0,0,1,0,0,0,-1.8589,0.931034,27,29,0.5,0,0,0,0,0,0,0,0,0,0,0,5,0.0,0,0,0.0,2,0,0,0.5,1,0.5,2,1,4,0,0,0.003875,0.0,0.0,2.1411,0,0,0,4,0,-1.8589,0,0,0,0.833333,6,5,90,0,0.9375,32,30,0.666667,3,2,0,0,0,0,0,0,0,0,0,1.0,1,1,0,43,4,0,0,90,0,0.0,0,0,0,0.0,0,0,3,0,0.0,3,0.0,0,0,2,1,0,0,0.0,0
Coppa di Francia,32esimi di finale,19.12.2025,IC Croix,Reims,Casa,IC Croix,Vincent Tanguy,Portiere,Titolare,4.6,ryzrBvZ9,0,0,0,0,0,0,0,0,-1.8589,0.583333,7,12,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,1,0,0.001817,0.0,0.0,2.1411,0,0,0,4,0,-1.8589,0,1,8,0.380952,21,8,90,0,0.48,25,12,0.333333,3,1,0,5,0,0,0,0,0,0,0,0.0,0,0,0,39,9,0,0,90,0,0.0,0,0,0,0.0,0,0,3,0,0.0,11,0.0,0,0,0,0,0,0,0.0,0
Coppa di Francia,32esimi di finale,19.12.2025,IC Croix,Reims,Casa,IC Croix,Cal Corentin,Difensore centrale,Titolare,6.3,ryzrBvZ9,0,0,0,0,0,0,0,0,-1.8589,0.62963,17,27,1.0,0,0,0,0,0,0,0,0,0,0,0,9,0.0,0,0,0.0,2,0,0,1.0,2,1.0,1,1,3,0,0,0.005298,0.0,0.0,2.1411,0,0,0,4,0,-1.8589,2,0,0,0.428571,7,3,90,0,0.642857,28,18,0.2,5,1,0,0,0,0,0,0,0,0,0,1.0,1,1,1,42,4,0,0,90,0,0.0,0,0,0,0.0,0,0,3,0,0.0,4,0.0,0,0,3,0,0,0,0.0,0
Coppa di Francia,32esimi di finale,19.12.2025,IC Croix,Reims,Casa,IC Croix,Lesage Anzo,Terzino,Titolare,5.5,ryzrBvZ9,0,0,0,0,2,1,0,0,-1.8589,0.777778,21,27,0.25,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0.0,0,0,0,0.0,0,0.25,4,1,4,0,0,0.011387,0.0,0.0,2.1411,0,0,0,4,0,-1.8589,1,0,0,0.0,1,0,90,0,0.777778,27,21,0.625,8,5,0,0,0,0,0,0,0,0,0,0.0,1,0,0,41,4,0,0,90,0,0.0,0,0,0,0.0,0,0,1,0,0.0,7,0.0,0,0,1,1,0,0,0.0,0
Coppa di Francia,32esimi di finale,19.12.2025,IC Croix,Reims,Casa,IC Croix,Coppin Thomas,Centrocampista,Titolare,6.5,ryzrBvZ9,0,0,0,0,3,2,0,0,-2.0333,0.666667,12,18,0.454545,0,0,0,0,0,0,0,0,0,0,0,1,0.0,4,0,0.0,5,1,0,0.4,2,0.5,6,3,11,0,0,0.005466,0.0,0.0,1.9667,0,1,0,4,0,-2.0333,1,0,0,0.0,1,0,69,0,0.666667,18,12,0.333333,6,2,0,0,0,0,0,0,0,0,0,1.0,2,2,1,32,4,0,0,69,1,0.0,0,3,0,1.0,2,2,4,0,0.0,4,0.0,0,0,5,0,0,0,0.0,0
Coppa di Francia,32esimi di finale,19.12.2025,IC Croix,Reims,Casa,IC Croix,Lachaab Mohamed,Centrocampista,Subentrato,6.2,ryzrBvZ9,0,0,0,0,1,0,0,0,0.1744,1.0,3,3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0.0,1,0,0,0.0,0,0.0,0,0,1,0,0,0.003087,0.0,0.0,0.1744,0,0,0,0,0,0.1744,0,0,0,0.0,0,0,21,0,1.0,3,3,1.0,2,2,0,0,0,0,0,0,0,0,0,0.0,0,0,0,5,0,0,0,21,0,0.0,0,1,0,0.0,0,0,1,0,0.0,1,0.0,0,0,0,0,0,0,0.0,0
Coppa di Francia,32esimi di finale,19.12.2025,IC Croix,Reims,Casa,IC Croix,Oumedjeber Sofiane,Centrocampista,Titolare,5.2,ryzrBvZ9,0,0,0,0,6,5,0,0,-1.8589,0.71875,23,32,0.333333,0,0,0,0,0,0,0,0,0,0,0,1,0.5,2,1,0.0,4,0,0,0.5,2,0.272727,11,3,15,0,0,0.032603,0.0,0.0,2.1411,1,0,0,4,0,-1.8589,2,0,0,0.0,2,0,90,1,0.71875,32,23,0.625,16,10,0,0,0,0,0,0,0,0,0,0.0,3,0,3,54,4,0,0,90,0,0.0,0,2,0,1.0,1,1,6,0,0.0,7,0.0,0,0,5,0,0,0,0.0,0
