Competizione,Turno,Data,Casa,Ospite,Periodo,Lato,Squadra,ID partita,Cartellini gialli,Cartellini rossi,Goal previsti (xG),Possesso palla,Tiri totali,Tiri in porta,Grandi occasioni,Calci d'angolo,Passaggi,xG sui Tiri in porta (xGOT),Tiri fuori,Tiri fermati,Tiri dall'area di rigore,Tiri da fuori area,Pali colpiti,Gol di testa,Palloni toccati nell'area avversaria,Passaggi filtranti riusciti,Fuorigioco,Punizioni,Passaggi lunghi,Passaggi offensivi,Cross,Assist previsti (xA),Rimesse Laterali,Falli,Tackles,Contrasti vinti,Respinte difensive,Palle intercettate,Errori che hanno portato al tiro,Errori che hanno portato al gol,Parate,xGot affrontati,Gol evitati
Coppa di Francia,7° turno,15.11.2025,Avranches,Paris 13 Atl.,Totale,Casa,Avranches,GvkfxQ74,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coppa di Francia,7° turno,15.11.2025,Avranches,Paris 13 Atl.,Totale,Ospite,Paris 13 Atl.,GvkfxQ74,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coppa di Francia,7° turno,15.11.2025,Avranches,Paris 13 Atl.,2° tempo,Casa,Avranches,GvkfxQ74,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coppa di Francia,7° turno,15.11.2025,Avranches,Paris 13 Atl.,2° tempo,Ospite,Paris 13 Atl.,GvkfxQ74,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coppa di Francia,7° turno,15.11.2025,Lavaur,Rodez,Totale,Casa,Lavaur,vaoEzA7d,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coppa di Francia,7° turno,15.11.2025,Lavaur,Rodez,Totale,Ospite,Rodez,vaoEzA7d,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coppa di Francia,7° turno,15.11.2025,Lavaur,Rodez,2° tempo,Casa,Lavaur,vaoEzA7d,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coppa di Francia,7° turno,15.11.2025,Lavaur,Rodez,2° tempo,Ospite,Rodez,vaoEzA7d,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coppa di Francia,7° turno,15.11.2025,Sarreguemines,Furiani Agliani,Totale,Casa,Sarreguemines,UaYKmTUN,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coppa di Francia,7° turno,15.11.2025,Sarreguemines,Furiani Agliani,Totale,Ospite,Furiani Agliani,UaYKmTUN,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coppa di Francia,7° turno,15.11.2025,Sarreguemines,Furiani Agliani,2° tempo,Casa,Sarreguemines,UaYKmTUN,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coppa di Francia,7° turno,15.11.2025,Sarreguemines,Furiani Agliani,2° tempo,Ospite,Furiani Agliani,UaYKmTUN,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coppa di Francia,7° turno,15.11.2025,Villars-l'Isle,Sarre Union,Totale,Casa,Villars-l'Isle,pdvWh6M9,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coppa di Francia,7° turno,15.11.2025,Villars-l'Isle,Sarre Union,Totale,Ospite,Sarre Union,pdvWh6M9,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coppa di Francia,7° turno,15.11.2025,Villars-l'Isle,Sarre Union,2° tempo,Casa,Villars-l'Isle,pdvWh6M9,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coppa di Francia,7° turno,15.11.2025,Villars-l'Isle,Sarre Union,2° tempo,Ospite,Sarre Union,pdvWh6M9,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coppa di Francia,7° turno,15.11.2025,Andrezieux,Hauts Lyonnais,Totale,Casa,Andrezieux,WCWOuKVg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coppa di Francia,7° turno,15.11.2025,Andrezieux,Hauts Lyonnais,Totale,Ospite,Hauts Lyonnais,WCWOuKVg,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coppa di Francia,7° turno,15.11.2025,Andrezieux,Hauts Lyonnais,1° tempo,Casa,Andrezieux,WCWOuKVg,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coppa di Francia,7° turno,15.11.2025,Andrezieux,Hauts Lyonnais,1° tempo,Ospite,Hauts Lyonnais,WCWOuKVg,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coppa di Francia,7° turno,15.11.2025,Atlas Paillade,Bourg en Bresse,Totale,Casa,Atlas Paillade,QZibfJpm,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coppa di Francia,7° turno,15.11.2025,Atlas Paillade,Bourg en Bresse,Totale,Ospite,Bourg en Bresse,QZibfJpm,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coppa di Francia,7° turno,15.11.2025,Atlas Paillade,Bourg en Bresse,1° tempo,Casa,Atlas Paillade,QZibfJpm,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coppa di Francia,7° turno,15.11.2025,Atlas Paillade,Bourg en Bresse,1° tempo,Ospite,Bourg en Bresse,QZibfJpm,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coppa di Francia,7° turno,15.11.2025,Challans,Pontivy,Totale,Casa,Challans,QeowCrCk,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
