Competizione,Turno,Data,Casa,Ospite,Periodo,Minuto,Lato,Tipo evento,Giocatore,Punteggio dopo,ID partita
DFB-Pokal,FINALE,23.05.2026,Bayern,Stoccarda,2 Tempo,54',Ospite,Cartellino Giallo,Fuhrich C.,,2VWWP3Cc
DFB-Pokal,FINALE,23.05.2026,Bayern,Stoccarda,2 Tempo,55',Casa,Gol,Kane H.,1-0,2VWWP3Cc
DFB-Pokal,FINALE,23.05.2026,Bayern,Stoccarda,2 Tempo,64',Ospite,Sostituzione - Esce,Jaquez L.,,2VWWP3Cc
DFB-Pokal,FINALE,23.05.2026,Bayern,Stoccarda,2 Tempo,64',Ospite,Sostituzione - Entra,Jeltsch F.,,2VWWP3Cc
DFB-Pokal,FINALE,23.05.2026,Bayern,Stoccarda,2 Tempo,76',Casa,Sostituzione - Esce,Musiala J.,,2VWWP3Cc
DFB-Pokal,FINALE,23.05.2026,Bayern,Stoccarda,2 Tempo,76',Casa,Sostituzione - Entra,Karl L.,,2VWWP3Cc
DFB-Pokal,FINALE,23.05.2026,Bayern,Stoccarda,2 Tempo,78',Ospite,Sostituzione - Esce,Fuhrich C.,,2VWWP3Cc
DFB-Pokal,FINALE,23.05.2026,Bayern,Stoccarda,2 Tempo,78',Ospite,Sostituzione - Entra,El Khannouss B.,,2VWWP3Cc
DFB-Pokal,FINALE,23.05.2026,Bayern,Stoccarda,2 Tempo,80',Casa,Gol,Kane H.,2-0,2VWWP3Cc
DFB-Pokal,FINALE,23.05.2026,Bayern,Stoccarda,2 Tempo,80',Casa,Assist,Diaz L.,2-0,2VWWP3Cc
DFB-Pokal,FINALE,23.05.2026,Bayern,Stoccarda,2 Tempo,82',Ospite,Cartellino Giallo,Chabot J.,,2VWWP3Cc
DFB-Pokal,FINALE,23.05.2026,Bayern,Stoccarda,2 Tempo,84',Ospite,Sostituzione - Esce,Demirovic E.,,2VWWP3Cc
DFB-Pokal,FINALE,23.05.2026,Bayern,Stoccarda,2 Tempo,84',Ospite,Sostituzione - Entra,Tomas T.,,2VWWP3Cc
DFB-Pokal,FINALE,23.05.2026,Bayern,Stoccarda,2 Tempo,84',Ospite,Sostituzione - Esce,Andres C.,,2VWWP3Cc
DFB-Pokal,FINALE,23.05.2026,Bayern,Stoccarda,2 Tempo,84',Ospite,Sostituzione - Entra,Nartey N.,,2VWWP3Cc
DFB-Pokal,FINALE,23.05.2026,Bayern,Stoccarda,2 Tempo,90',Casa,Sostituzione - Esce,Pavlovic A.,,2VWWP3Cc
DFB-Pokal,FINALE,23.05.2026,Bayern,Stoccarda,2 Tempo,90',Casa,Sostituzione - Entra,Goretzka L.,,2VWWP3Cc
DFB-Pokal,FINALE,23.05.2026,Bayern,Stoccarda,2 Tempo,90+2',Casa,Rigore Assegnato,Kane H.,3-0,2VWWP3Cc
DFB-Pokal,FINALE,23.05.2026,Bayern,Stoccarda,2 Tempo,90+2',Casa,Rigore,Kane H.,3-0,2VWWP3Cc
DFB-Pokal,FINALE,23.05.2026,Bayern,Stoccarda,2 Tempo,90+5',Casa,Sostituzione - Esce,Stanisic J.,,2VWWP3Cc
DFB-Pokal,FINALE,23.05.2026,Bayern,Stoccarda,2 Tempo,90+5',Casa,Sostituzione - Entra,Ito H.,,2VWWP3Cc
DFB-Pokal,FINALE,23.05.2026,Bayern,Stoccarda,2 Tempo,90+5',Casa,Sostituzione - Esce,Olise M.,,2VWWP3Cc
DFB-Pokal,FINALE,23.05.2026,Bayern,Stoccarda,2 Tempo,90+5',Casa,Sostituzione - Entra,Guerreiro R.,,2VWWP3Cc
DFB-Pokal,FINALE,23.05.2026,Bayern,Stoccarda,2 Tempo,90+5',Casa,Sostituzione - Esce,Laimer K.,,2VWWP3Cc
DFB-Pokal,FINALE,23.05.2026,Bayern,Stoccarda,2 Tempo,90+5',Casa,Sostituzione - Entra,Bischof T.,,2VWWP3Cc
DFB-Pokal,SEMI FINALI,23.04.2026,Stoccarda,Friburgo,1 Tempo,13',Ospite,Cartellino Giallo,Makengo J.,,dAmVwZvJ
DFB-Pokal,SEMI FINALI,23.04.2026,Stoccarda,Friburgo,1 Tempo,15',Casa,Cartellino Giallo,Nartey N.,,dAmVwZvJ
DFB-Pokal,SEMI FINALI,23.04.2026,Stoccarda,Friburgo,1 Tempo,17',Ospite,Cartellino Giallo,Manzambi J.,,dAmVwZvJ
DFB-Pokal,SEMI FINALI,23.04.2026,Stoccarda,Friburgo,1 Tempo,17',Casa,Cartellino Giallo,Leweling J.,,dAmVwZvJ
DFB-Pokal,SEMI FINALI,23.04.2026,Stoccarda,Friburgo,1 Tempo,28',Ospite,Gol,Eggestein M.,0-1,dAmVwZvJ
DFB-Pokal,SEMI FINALI,23.04.2026,Stoccarda,Friburgo,1 Tempo,28',Ospite,Assist,Ginter M.,0-1,dAmVwZvJ
DFB-Pokal,SEMI FINALI,23.04.2026,Stoccarda,Friburgo,2 Tempo,56',Ospite,Cartellino Giallo,Grifo V.,,dAmVwZvJ
DFB-Pokal,SEMI FINALI,23.04.2026,Stoccarda,Friburgo,2 Tempo,63',Casa,Sostituzione - Esce,Nartey N.,,dAmVwZvJ
DFB-Pokal,SEMI FINALI,23.04.2026,Stoccarda,Friburgo,2 Tempo,63',Casa,Sostituzione - Entra,El Khannouss B.,,dAmVwZvJ
DFB-Pokal,SEMI FINALI,23.04.2026,Stoccarda,Friburgo,2 Tempo,70',Casa,Gol,Undav D.,1-1,dAmVwZvJ
DFB-Pokal,SEMI FINALI,23.04.2026,Stoccarda,Friburgo,2 Tempo,70',Casa,Assist,El Khannouss B.,1-1,dAmVwZvJ
DFB-Pokal,SEMI FINALI,23.04.2026,Stoccarda,Friburgo,2 Tempo,71',Ospite,Sostituzione - Esce,Grifo V.,,dAmVwZvJ
