Competizione,Turno,Data,Casa,Ospite,Lato,Squadra,Modulo,Gruppo,Ordine,Numero,Giocatore,Ruolo,Rating,Entrato al,Uscito al,ID partita
DFB-Pokal,FINALE,23.05.2026,Bayern,Stoccarda,Casa,Bayern,4-2-3-1,Titolare,1,40,Urbig J.,Portiere,7.1,,,2VWWP3Cc
DFB-Pokal,FINALE,23.05.2026,Bayern,Stoccarda,Casa,Bayern,4-2-3-1,Titolare,2,27,Laimer K.,,5.6,,90+5',2VWWP3Cc
DFB-Pokal,FINALE,23.05.2026,Bayern,Stoccarda,Casa,Bayern,4-2-3-1,Titolare,3,2,Upamecano D.,,7.4,,,2VWWP3Cc
DFB-Pokal,FINALE,23.05.2026,Bayern,Stoccarda,Casa,Bayern,4-2-3-1,Titolare,4,4,Tah J.,,6.7,,,2VWWP3Cc
DFB-Pokal,FINALE,23.05.2026,Bayern,Stoccarda,Casa,Bayern,4-2-3-1,Titolare,5,44,Stanisic J.,,6.1,,90+5',2VWWP3Cc
DFB-Pokal,FINALE,23.05.2026,Bayern,Stoccarda,Casa,Bayern,4-2-3-1,Titolare,6,6,Kimmich J.,Capitano,8.2,,,2VWWP3Cc
DFB-Pokal,FINALE,23.05.2026,Bayern,Stoccarda,Casa,Bayern,4-2-3-1,Titolare,7,45,Pavlovic A.,,6.4,,90',2VWWP3Cc
DFB-Pokal,FINALE,23.05.2026,Bayern,Stoccarda,Casa,Bayern,4-2-3-1,Titolare,8,17,Olise M.,,6.7,,90+5',2VWWP3Cc
DFB-Pokal,FINALE,23.05.2026,Bayern,Stoccarda,Casa,Bayern,4-2-3-1,Titolare,9,10,Musiala J.,,5.7,,76',2VWWP3Cc
DFB-Pokal,FINALE,23.05.2026,Bayern,Stoccarda,Casa,Bayern,4-2-3-1,Titolare,10,14,Diaz L.,,5.8,,,2VWWP3Cc
DFB-Pokal,FINALE,23.05.2026,Bayern,Stoccarda,Casa,Bayern,4-2-3-1,Titolare,11,9,Kane H.,,9.2,,,2VWWP3Cc
DFB-Pokal,FINALE,23.05.2026,Bayern,Stoccarda,Casa,Bayern,4-2-3-1,Panchina,1,20,Bischof T.,,,90+5',,2VWWP3Cc
DFB-Pokal,FINALE,23.05.2026,Bayern,Stoccarda,Casa,Bayern,4-2-3-1,Panchina,2,8,Goretzka L.,,,90',,2VWWP3Cc
DFB-Pokal,FINALE,23.05.2026,Bayern,Stoccarda,Casa,Bayern,4-2-3-1,Panchina,3,22,Guerreiro R.,,,90+5',,2VWWP3Cc
DFB-Pokal,FINALE,23.05.2026,Bayern,Stoccarda,Casa,Bayern,4-2-3-1,Panchina,4,21,Ito H.,,,90+5',,2VWWP3Cc
DFB-Pokal,FINALE,23.05.2026,Bayern,Stoccarda,Casa,Bayern,4-2-3-1,Panchina,5,11,Jackson N.,,,,,2VWWP3Cc
DFB-Pokal,FINALE,23.05.2026,Bayern,Stoccarda,Casa,Bayern,4-2-3-1,Panchina,6,42,Karl L.,,6.4,76',,2VWWP3Cc
DFB-Pokal,FINALE,23.05.2026,Bayern,Stoccarda,Casa,Bayern,4-2-3-1,Panchina,7,3,Kim Min-Jae,,,,,2VWWP3Cc
DFB-Pokal,FINALE,23.05.2026,Bayern,Stoccarda,Casa,Bayern,4-2-3-1,Panchina,8,39,Sapoko Ndiaye B.,,,,,2VWWP3Cc
DFB-Pokal,FINALE,23.05.2026,Bayern,Stoccarda,Casa,Bayern,4-2-3-1,Panchina,9,26,Ulreich S.,Portiere,,,,2VWWP3Cc
