Competizione,Turno,Data,Casa,Ospite,Gol casa 90,Gol ospite 90,Gol casa dts,Gol ospite dts,Rigori casa,Rigori ospite,Risultato (esteso),Nota andata/ritorno,Stat giocatori disponibili,ID partita
DFB-Pokal,FINALE,23.05.2026,Bayern,Stoccarda,3,0,,,,,3-0,Campo neutro - Olympiastadion.,Sì,2VWWP3Cc
DFB-Pokal,SEMI FINALI,23.04.2026,Stoccarda,Friburgo,1,1,2.0,1.0,,,"1-1 nei 90', 2-1 dopo i supplementari",,Sì,dAmVwZvJ
DFB-Pokal,SEMI FINALI,22.04.2026,Leverkusen,Bayern,0,2,,,,,0-2,,Sì,l4zH1xXP
DFB-Pokal,QUARTI DI FINALE,11.02.2026,Bayern,RB Lipsia,2,0,,,,,2-0,,Sì,f3czdX2n
DFB-Pokal,QUARTI DI FINALE,10.02.2026,Hertha,Friburgo,0,0,1.0,1.0,4.0,5.0,"1-1, poi rigori 4-5",,Sì,GIoqfBXb
DFB-Pokal,QUARTI DI FINALE,04.02.2026,Kiel,Stoccarda,0,3,,,,,0-3,,Sì,2Zqihk2B
DFB-Pokal,QUARTI DI FINALE,03.02.2026,Leverkusen,St. Pauli,3,0,,,,,3-0,,Sì,b1w0jTWN
DFB-Pokal,1/8 FINALE,03.12.2025,Amburgo,Kiel,0,0,1.0,1.0,2.0,4.0,"1-1, poi rigori 2-4",,Sì,pA5nAoI8
DFB-Pokal,1/8 FINALE,03.12.2025,Union Berlino,Bayern,2,3,,,,,2-3,,Sì,hGI0nrQ1
DFB-Pokal,1/8 FINALE,03.12.2025,Bochum,Stoccarda,0,2,,,,,0-2,,Sì,QakDen3F
DFB-Pokal,1/8 FINALE,03.12.2025,Friburgo,Darmstadt,2,0,,,,,2-0,,Sì,d24Q23Ar
DFB-Pokal,1/8 FINALE,02.12.2025,Dortmund,Leverkusen,0,1,,,,,0-1,,Sì,IHhZ0sue
DFB-Pokal,1/8 FINALE,02.12.2025,RB Lipsia,Magdeburg,3,1,,,,,3-1,,Sì,txae8PnL
DFB-Pokal,1/8 FINALE,02.12.2025,Hertha,Kaiserslautern,6,1,,,,,6-1,,Sì,nFwMgQXR
DFB-Pokal,1/8 FINALE,02.12.2025,Monchengladbach,St. Pauli,1,2,,,,,1-2,,Sì,dlPil4ek
DFB-Pokal,1/16 FINALE,29.10.2025,Colonia,Bayern,1,4,,,,,1-4,,Sì,UTBdLGkg
DFB-Pokal,1/16 FINALE,29.10.2025,Darmstadt,Schalke,4,0,,,,,4-0,,Sì,QZTU6Hz0
DFB-Pokal,1/16 FINALE,29.10.2025,Dusseldorf,Friburgo,1,3,,,,,1-3,,Sì,Ugemfvif
DFB-Pokal,1/16 FINALE,29.10.2025,Union Berlino,Bielefeld,1,1,2.0,1.0,,,"1-1 nei 90', 2-1 dopo i supplementari",,Sì,bmSx5e5C
DFB-Pokal,1/16 FINALE,29.10.2025,Furth,Kaiserslautern,0,1,,,,,0-1,,Sì,xfF4JfK5
DFB-Pokal,1/16 FINALE,29.10.2025,Illertissen,Magdeburg,0,3,,,,,0-3,,Sì,bPqjEarQ
DFB-Pokal,1/16 FINALE,29.10.2025,Magonza,Stoccarda,0,2,,,,,0-2,,Sì,QLldhIL6
DFB-Pokal,1/16 FINALE,29.10.2025,Paderborn,Leverkusen,1,1,2.0,4.0,,,"1-1 nei 90', 2-4 dopo i supplementari",,Sì,Ikrv3ZZO
DFB-Pokal,1/16 FINALE,28.10.2025,Augusta,Bochum,0,1,,,,,0-1,,Sì,xdG81MbK
DFB-Pokal,1/16 FINALE,28.10.2025,Cottbus,RB Lipsia,1,4,,,,,1-4,,Sì,U7zM8w6m
DFB-Pokal,1/16 FINALE,28.10.2025,Monchengladbach,Karlsruher,3,1,,,,,3-1,,Sì,WbTMwJ6D
DFB-Pokal,1/16 FINALE,28.10.2025,St. Pauli,Hoffenheim,1,1,2.0,2.0,8.0,7.0,"2-2, poi rigori 8-7",,Sì,8ENmNxLt
DFB-Pokal,1/16 FINALE,28.10.2025,Francoforte,Dortmund,1,1,1.0,1.0,2.0,4.0,"1-1, poi rigori 2-4",,Sì,dtcud0Ms
DFB-Pokal,1/16 FINALE,28.10.2025,Heidenheim,Amburgo,0,1,,,,,0-1,,Sì,Wh8DHYlI
DFB-Pokal,1/16 FINALE,28.10.2025,Hertha,Elversberg,3,0,,,,,3-0,,Sì,AquEuux1
DFB-Pokal,1/16 FINALE,28.10.2025,Wolfsburg,Kiel,0,1,,,,,0-1,,Sì,IT63jdjJ
DFB-Pokal,1/32 FINALE,27.08.2025,Wehen,Bayern,2,3,,,,,2-3,,Sì,tMhdEiQ1
DFB-Pokal,1/32 FINALE,26.08.2025,Braunschweig,Stoccarda,3,3,4.0,4.0,7.0,8.0,"4-4, poi rigori 7-8",,Sì,Uuv9JRpp
DFB-Pokal,1/32 FINALE,18.08.2025,RW Essen,Dortmund,0,1,,,,,0-1,,Sì,pfamGDek
DFB-Pokal,1/32 FINALE,18.08.2025,Dresda,Magonza,0,1,,,,,0-1,,Sì,2FTFQLFO
DFB-Pokal,1/32 FINALE,18.08.2025,Munster,Hertha,0,0,0.0,0.0,3.0,5.0,"0-0, poi rigori 3-5",,Sì,2ghuErWI
DFB-Pokal,1/32 FINALE,18.08.2025,Schweinfurt,Dusseldorf,2,4,,,,,2-4,,Sì,4xJgEW84
DFB-Pokal,1/32 FINALE,17.08.2025,Hallescher,Augusta,0,2,,,,,0-2,,Sì,I1zSynOP
DFB-Pokal,1/32 FINALE,17.08.2025,Homburg,Kiel,0,2,,,,,0-2,,Sì,GxEZ4SVj
DFB-Pokal,1/32 FINALE,17.08.2025,Ulm,Elversberg,0,1,,,,,0-1,,Sì,KU61PHY2
DFB-Pokal,1/32 FINALE,17.08.2025,Delmenhorst,Monchengladbach,2,3,,,,,2-3,,Sì,04C2CAwH
DFB-Pokal,1/32 FINALE,17.08.2025,Lohne,Furth,0,2,,,,,0-2,,Sì,4OwLaXgB
DFB-Pokal,1/32 FINALE,17.08.2025,Lokomotive Leipzig,Schalke,0,0,0.0,1.0,,,"0-0 nei 90', 0-1 dopo i supplementari",,Sì,0jXTcBON
DFB-Pokal,1/32 FINALE,17.08.2025,Meuselwitz,Karlsruher,0,5,,,,,0-5,,Sì,YFurxeI8
DFB-Pokal,1/32 FINALE,17.08.2025,Regensburg,Colonia,1,2,,,,,1-2,,Sì,SfA9Ne3F
DFB-Pokal,1/32 FINALE,17.08.2025,RSV Eintracht,Kaiserslautern,0,7,,,,,0-7,,Sì,dCFoGhvh
