Competizione,Turno,Data,Casa,Ospite,Lato,Squadra,Giocatore,Ruolo,Stato,Rating,ID partita,PENALTIES_COMMITTED,PENALTY_SHOOTOUT_ATTEMPTS_SAVES,PENALTY_SHOOTOUT_ATTEMPTS_SCORED,HIT_WOODWORK,TURNOVERS,CHALLENGE_LOST,PENALTIES_NOT_CONVERTED,PENALTY_SHOOTOUT_ATTEMPTS_NOT_CONVERTED,GOALS_PREVENTED_NO_PENALTIES,PASSES_OPEN_PLAY_ACCURACY,PASSES_OPEN_PLAY_ACCURATE,PASSES_OPEN_PLAY_TOTAL,DUELS_EFFICIENCY,TACKLE_LAST_MAN,CLEARANCES_OFF_LINE,BIG_CHANCES_SAVED,PENALTIES_SAVED,GOALS_PENALTY,PENALTIES_WON,ASSISTS_GOAL,BIG_CHANCES_CREATED,BIG_CHANCES_MISSED,CARDS_RED,CARDS_YELLOW,CLEARANCES,CROSSES_ACCURACY,CROSSES_TOTAL,CROSSES_ACCURATE,DRIBBLES_EFFICIENCY,DUELS_AERIAL_TOTAL,DRIBBLES_TOTAL,DRIBBLES_WON,DUELS_AERIAL_EFFICIENCY,DUELS_AERIAL_WON,DUELS_GROUND_EFFICIENCY,DUELS_GROUND_TOTAL,DUELS_GROUND_WON,DUELS_TOTAL,ERRORS_LEAD_TO_GOAL,ERRORS_LEAD_TO_SHOT,EXPECTED_ASSISTS,EXPECTED_GOALS,EXPECTED_GOALS_ON_TARGET,EXPECTED_GOALS_ON_TARGET_FACED,FOULS_COMMITTED,FOULS_SUFFERED,GOALS,GOALS_CONCEDED,GOALS_OWN,GOALS_PREVENTED,INTERCEPTIONS,KEEPER_SWEEPER_TOTAL,KEEPER_THROWS_TOTAL,LONG_BALLS_ACCURACY,LONG_BALLS_TOTAL,LONG_BALLS_ACCURATE,MATCH_MINUTES_PLAYED,OFFSIDES,PASSES_ACCURACY,PASSES_TOTAL,PASSES_ACCURATE,PASSES_FINAL_THIRD_ACCURACY,PASSES_FINAL_THIRD_TOTAL,PASSES_FINAL_THIRD_ACCURATE,PUNCHES_TOTAL,SAVES_TOTAL,SHOTS_BLOCKED,SHOTS_BOX_IN,SHOTS_BOX_OUT,SHOTS_HEAD,SHOTS_OFF_TARGET,SHOTS_ON_TARGET,SHOTS_TOTAL,TACKLES_EFFICIENCY,TACKLES_TOTAL,TACKLES_WON,TOUCHES_BOX_OPPOSITE,TOUCHES_TOTAL,SHOTS_FACED,CARDS_YELLOW_SECOND,MATCH_ON_PITCH_LIVE,MATCH_MINUTES_PLAYED_LIVE,KEY_PASSES,BOX_ENTRIES_EFFICIENCY,BOX_ENTRIES_ACCURATE,BOX_ENTRIES_TOTAL,THROUGH_BALLS,LAYOFFS_ACCURACY,LAYOFFS_ACCURATE,LAYOFFS_TOTAL,FINAL_THIRD_ENTRIES_TOTAL,FINAL_THIRD_ENTRIES_SUCCESSFUL,FINAL_THIRD_ENTRIES_EFFICIENCY,BALL_RECOVERIES,HIGH_CLAIM_EFFICIENCY,HIGH_CLAIM_TOTAL,HIGH_CLAIM_SAVED,DUELS_WON,OUTFIELDER_BLOCKS,PROGRESSIVE_CARRIES,PROGRESSIVE_PASSES_TOTAL,PROGRESSIVE_PASSES_ACCURACY,PROGRESSIVE_PASSES_ACCURATE
DFB-Pokal,1/32 finale,15.08.2025,Grossaspach,Leverkusen,Ospite,Leverkusen,Garcia Aleix,Centrocampista,Titolare,8.7,WCzgdbmJ,0,0,0,0,2,1,0,0,0.5997,0.935484,87,93,0.333333,0,0,0,0,0,0,1,1,0,0,0,1,0.285714,7,2,0.333333,0,3,1,0.0,0,0.333333,6,2,6,0,0,0.481331,0.0541,0.0,0.5997,0,1,0,0,0,0.5997,0,0,0,0.8,5,4,90,0,0.936842,95,89,0.892857,28,25,0,0,1,1,0,0,0,0,1,0.0,0,0,6,116,0,0,0,90,2,0.0,0,10,1,1.0,1,1,16,0,0.0,4,0.0,0,0,2,1,0,0,0.0,0
DFB-Pokal,1/32 finale,15.08.2025,Grossaspach,Leverkusen,Ospite,Leverkusen,Schick Patrik,Attaccante,Titolare,8.3,WCzgdbmJ,0,0,0,0,6,1,0,0,0.5717,0.75,3,4,0.285714,0,1,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0.0,2,1,0,0.5,1,0.2,5,1,7,0,0,0.113564,0.9795,0.8308,0.5717,0,2,1,0,0,0.5717,0,0,0,0.0,0,0,78,1,0.75,4,3,1.0,2,2,0,0,0,3,0,2,1,2,3,0.0,0,0,7,18,0,0,0,78,1,0.0,0,1,0,1.0,1,1,0,0,0.0,0,0.0,0,0,2,1,0,0,0.0,0
DFB-Pokal,1/32 finale,15.08.2025,Grossaspach,Leverkusen,Ospite,Leverkusen,Grimaldo Alejandro,Difensore,Subentrato,7.5,WCzgdbmJ,0,0,0,0,2,0,0,0,0.3442,0.885714,31,35,0.666667,0,0,0,0,1,0,0,0,0,0,0,1,0.333333,3,1,0.5,0,2,1,0.0,0,0.666667,3,2,3,0,0,0.18848,0.8721,0.9059,0.3442,0,0,1,0,0,0.3442,0,0,0,0.0,0,0,45,0,0.888889,36,32,0.75,16,12,0,0,0,2,0,0,0,2,2,1.0,1,1,4,53,0,0,0,45,2,0.0,0,4,0,0.0,0,0,0,0,0.0,4,0.0,0,0,2,0,0,0,0.0,0
DFB-Pokal,1/32 finale,15.08.2025,Grossaspach,Leverkusen,Casa,Grossaspach,Kleinschrodt Michael,Attaccante,Titolare,5.2,WCzgdbmJ,0,0,0,0,5,0,0,0,0.2039,0.166667,1,6,0.25,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0,0,0.0,4,1,0,0.0,0,0.375,8,3,12,0,0,4.2e-05,0.0832,0.3162,3.9538,2,2,0,4,0,-0.0462,0,0,0,0.0,0,0,88,0,0.285714,7,2,0.0,4,0,0,0,0,1,0,0,0,1,1,0.0,1,0,2,21,4,0,0,88,0,0.0,0,0,0,0.0,0,2,2,0,0.0,1,0.0,0,0,3,0,0,0,0.0,0
DFB-Pokal,1/32 finale,15.08.2025,Grossaspach,Leverkusen,Casa,Grossaspach,Pollex Niklas,Centrocampista,Subentrato,,WCzgdbmJ,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,2,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,2,0,0.0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0
DFB-Pokal,1/32 finale,15.08.2025,Grossaspach,Leverkusen,Ospite,Leverkusen,Hincapie Piero,Difensore centrale,Titolare,7.7,WCzgdbmJ,0,0,0,0,1,0,0,0,0.5717,0.935484,58,62,0.833333,0,0,0,0,0,0,0,0,0,0,0,5,0.0,0,0,0.0,3,0,0,0.666667,2,1.0,3,3,6,0,0,0.031159,0.0288,0.0337,0.5717,0,1,0,0,0,0.5717,3,0,0,0.75,8,6,65,0,0.9375,64,60,0.846154,13,11,0,0,0,0,1,0,0,1,1,0.0,2,0,0,88,0,0,0,65,0,0.0,0,2,0,0.0,0,0,9,0,0.0,4,0.0,0,0,5,1,0,0,0.0,0
DFB-Pokal,1/32 finale,15.08.2025,Grossaspach,Leverkusen,Casa,Grossaspach,Reule Maximilian,Portiere,Titolare,6.9,WCzgdbmJ,0,0,0,0,0,0,0,0,0.2039,0.692308,9,13,1.0,0,0,2,0,0,0,0,0,0,0,0,1,0.0,0,0,0.0,0,0,0,0.0,0,1.0,1,1,1,0,0,0.000851,0.0,0.0,3.9538,0,0,0,4,0,-0.0462,0,0,3,0.1,10,1,90,0,0.64,25,16,0.0,3,0,1,6,0,0,0,0,0,0,0,1.0,1,1,0,36,10,0,0,90,0,0.0,0,1,0,0.0,0,0,3,0,0.0,6,0.0,0,0,1,0,0,0,0.0,0
DFB-Pokal,1/32 finale,15.08.2025,Grossaspach,Leverkusen,Casa,Grossaspach,Tasdelen Mert,Centrocampista offensivo,Titolare,6.1,WCzgdbmJ,0,0,0,0,2,1,0,0,1.1347,0.875,14,16,0.5,0,0,0,0,0,0,0,0,0,1,0,0,0.333333,15,5,1.0,1,2,2,0.0,0,0.6,5,3,6,0,0,0.350788,0.2096,0.0221,3.1347,1,1,0,2,0,1.1347,0,0,0,0.0,0,0,82,0,0.882353,17,15,0.833333,12,10,0,0,3,1,3,0,0,1,4,0.0,0,0,6,42,2,0,0,82,2,0.0,0,11,0,0.0,0,0,0,0,0.0,3,0.0,0,0,3,0,0,0,0.0,0
DFB-Pokal,1/32 finale,15.08.2025,Grossaspach,Leverkusen,Ospite,Leverkusen,Andrich Robert,Centrocampista,Titolare,6.5,WCzgdbmJ,0,0,0,0,2,0,0,0,0.5997,0.928571,52,56,0.285714,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,2,0,0,0.5,1,0.2,5,1,7,0,0,0.058445,0.0,0.0,0.5997,2,1,0,0,0,0.5997,0,0,0,0.333333,3,1,90,0,0.928571,56,52,0.8125,16,13,0,0,0,0,0,0,0,0,0,0.0,0,0,0,61,0,0,0,90,0,0.0,0,2,0,1.0,3,3,6,0,0.0,1,0.0,0,0,2,0,0,0,0.0,0
DFB-Pokal,1/32 finale,15.08.2025,Grossaspach,Leverkusen,Casa,Grossaspach,Maier Loris,Centrocampista offensivo,Titolare,7.0,WCzgdbmJ,0,0,0,0,0,0,0,0,0.2039,0.8,20,25,0.666667,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,1,1,0,1.0,1,0.6,5,3,6,0,0,0.15915,0.0488,0.0,3.9538,1,1,0,4,0,-0.0462,2,0,0,0.0,2,0,88,0,0.8,25,20,0.833333,12,10,0,0,0,0,1,0,1,0,1,1.0,2,2,4,38,4,0,0,88,2,0.0,0,1,0,1.0,2,2,3,0,0.0,7,0.0,0,0,4,0,0,0,0.0,0
