Competizione,Turno,Data,Casa,Ospite,Periodo,Lato,Squadra,ID partita,Goal previsti (xG),Possesso palla,Tiri totali,Tiri in porta,Grandi occasioni,Calci d'angolo,Passaggi,Cartellini gialli,Cartellini rossi,xG sui Tiri in porta (xGOT),Tiri fuori,Tiri fermati,Tiri dall'area di rigore,Tiri da fuori area,Pali colpiti,Gol di testa,Palloni toccati nell'area avversaria,Passaggi filtranti riusciti,Fuorigioco,Punizioni,Passaggi lunghi,Passaggi offensivi,Cross,Assist previsti (xA),Rimesse Laterali,Falli,Tackles,Contrasti vinti,Respinte difensive,Palle intercettate,Errori che hanno portato al tiro,Errori che hanno portato al gol,Parate,xGot affrontati,Gol evitati
DFB-Pokal,1/32 finale,15.08.2025,Grossaspach,Leverkusen,Totale,Casa,Grossaspach,WCzgdbmJ,0.62,31%,12,5,0,6,76% (182/241),3.0,2.0,0.6,4,3,7,5,1,0.0,24,0,0,10,40% (19/48),67% (55/82),22% (5/23),0.79,14,16,60% (15/25),45,15,11,0,0,6,3.95,-0.05
DFB-Pokal,1/32 finale,15.08.2025,Grossaspach,Leverkusen,Totale,Ospite,Leverkusen,WCzgdbmJ,4.36,69%,20,9,7,4,91% (512/563),2.0,0.0,3.95,8,3,17,3,1,1.0,45,1,1,16,60% (25/42),84% (147/176),47% (8/17),3.39,22,10,29% (2/7),42,17,9,0,0,4,0.6,0.6
DFB-Pokal,1/32 finale,15.08.2025,Grossaspach,Leverkusen,1° tempo,Casa,Grossaspach,WCzgdbmJ,0.37,31%,6,3,0,5,76% (86/113),0.0,,0.26,1,2,4,2,0,0.0,16,0,0,7,33% (8/24),68% (25/37),31% (4/13),0.65,8,9,57% (8/14),29,8,6,0,0,4,1.62,0.62
DFB-Pokal,1/32 finale,15.08.2025,Grossaspach,Leverkusen,1° tempo,Ospite,Leverkusen,WCzgdbmJ,1.89,69%,9,4,3,2,92% (253/276),1.0,,1.62,5,0,7,2,0,1.0,21,0,0,9,57% (13/23),84% (63/75),58% (7/12),1.63,17,7,25% (1/4),25,9,5,0,0,2,0.26,0.26
DFB-Pokal,1/32 finale,15.08.2025,Grossaspach,Leverkusen,2° tempo,Casa,Grossaspach,WCzgdbmJ,0.25,32%,6,2,0,1,75% (96/128),3.0,2.0,0.34,3,1,3,3,1,,8,0,0,3,46% (11/24),67% (30/45),10% (1/10),0.14,6,7,64% (7/11),16,7,5,0,0,2,2.33,-0.67
DFB-Pokal,1/32 finale,15.08.2025,Grossaspach,Leverkusen,2° tempo,Ospite,Leverkusen,WCzgdbmJ,2.47,68%,11,5,4,2,90% (259/287),1.0,0.0,2.33,3,3,10,1,1,,24,1,1,7,63% (12/19),83% (84/101),20% (1/5),1.76,5,3,33% (1/3),17,8,4,0,0,2,0.34,0.34
DFB-Pokal,1/32 finale,15.08.2025,Saarbrucken,Magdeburg,Totale,Casa,Saarbrucken,EXLcWPom,1.85,47%,22,3,1,6,81% (332/408),3.0,,0.63,13,6,15,7,1,,35,0,0,15,50% (23/46),65% (53/82),63% (12/19),1.22,21,6,76% (16/21),53,18,9,0,0,2,1.32,-1.68
DFB-Pokal,1/32 finale,15.08.2025,Saarbrucken,Magdeburg,Totale,Ospite,Magdeburg,EXLcWPom,0.95,53%,11,5,2,3,87% (414/475),1.0,,1.32,2,4,8,3,1,,23,1,1,6,64% (25/39),73% (99/135),9% (1/11),0.52,20,15,62% (8/13),36,20,10,0,1,2,0.63,-0.37
DFB-Pokal,1/32 finale,15.08.2025,Saarbrucken,Magdeburg,1° tempo,Casa,Saarbrucken,EXLcWPom,0.46,44%,5,1,0,3,77% (144/186),1.0,,0.03,4,0,3,2,0,,10,0,0,8,46% (12/26),53% (20/38),60% (6/10),0.27,10,3,82% (9/11),27,13,5,0,0,1,0.91,-1.09
DFB-Pokal,1/32 finale,15.08.2025,Saarbrucken,Magdeburg,1° tempo,Ospite,Magdeburg,EXLcWPom,0.57,56%,6,3,1,3,88% (207/234),0.0,,0.91,1,2,4,2,0,,10,0,1,3,57% (8/14),75% (48/64),10% (1/10),0.17,13,8,50% (3/6),14,12,4,0,0,1,0.03,0.03
