Competizione,Turno,Data,Casa,Ospite,Periodo,Minuto,Lato,Tipo evento,Giocatore,Punteggio dopo,ID partita
Carabao Cup,FINALE,22.03.2026,Arsenal,Manchester City,1 Tempo,16',Casa,Cartellino Giallo,Hincapie P.,,rJ3qBSJD
Carabao Cup,FINALE,22.03.2026,Arsenal,Manchester City,1 Tempo,32',Ospite,Cartellino Giallo,Khusanov A.,,rJ3qBSJD
Carabao Cup,FINALE,22.03.2026,Arsenal,Manchester City,2 Tempo,50',Casa,Cartellino Giallo,Arrizabalaga K.,,rJ3qBSJD
Carabao Cup,FINALE,22.03.2026,Arsenal,Manchester City,2 Tempo,60',Ospite,Gol,O'Reilly N.,0-1,rJ3qBSJD
Carabao Cup,FINALE,22.03.2026,Arsenal,Manchester City,2 Tempo,64',Ospite,Gol,O'Reilly N.,0-2,rJ3qBSJD
Carabao Cup,FINALE,22.03.2026,Arsenal,Manchester City,2 Tempo,64',Ospite,Assist,Nunes M.,0-2,rJ3qBSJD
Carabao Cup,FINALE,22.03.2026,Arsenal,Manchester City,2 Tempo,65',Casa,Sostituzione - Esce,Hincapie P.,,rJ3qBSJD
Carabao Cup,FINALE,22.03.2026,Arsenal,Manchester City,2 Tempo,65',Casa,Sostituzione - Entra,Calafiori R.,,rJ3qBSJD
Carabao Cup,FINALE,22.03.2026,Arsenal,Manchester City,2 Tempo,66',Casa,Sostituzione - Esce,Havertz K.,,rJ3qBSJD
Carabao Cup,FINALE,22.03.2026,Arsenal,Manchester City,2 Tempo,66',Casa,Sostituzione - Entra,Madueke N.,,rJ3qBSJD
Carabao Cup,FINALE,22.03.2026,Arsenal,Manchester City,2 Tempo,69',Casa,Cartellino Giallo,White B.,,rJ3qBSJD
Carabao Cup,FINALE,22.03.2026,Arsenal,Manchester City,2 Tempo,82',Casa,Sostituzione - Esce,Trossard L.,,rJ3qBSJD
Carabao Cup,FINALE,22.03.2026,Arsenal,Manchester City,2 Tempo,82',Casa,Sostituzione - Entra,Martinelli G.,,rJ3qBSJD
Carabao Cup,FINALE,22.03.2026,Arsenal,Manchester City,2 Tempo,82',Casa,Sostituzione - Esce,White B.,,rJ3qBSJD
Carabao Cup,FINALE,22.03.2026,Arsenal,Manchester City,2 Tempo,82',Casa,Sostituzione - Entra,Gabriel Jesus,,rJ3qBSJD
Carabao Cup,FINALE,22.03.2026,Arsenal,Manchester City,2 Tempo,90',Ospite,Sostituzione - Esce,Cherki R.,,rJ3qBSJD
Carabao Cup,FINALE,22.03.2026,Arsenal,Manchester City,2 Tempo,90',Ospite,Sostituzione - Entra,Foden P.,,rJ3qBSJD
Carabao Cup,SEMI FINALI,04.02.2026,Manchester City,Newcastle,1 Tempo,7',Casa,Gol,Marmoush O.,1-0,d01ERQJr
Carabao Cup,SEMI FINALI,04.02.2026,Manchester City,Newcastle,1 Tempo,27',Casa,Cartellino Giallo,Nunes M.,,d01ERQJr
Carabao Cup,SEMI FINALI,04.02.2026,Manchester City,Newcastle,1 Tempo,29',Casa,Gol,Marmoush O.,2-0,d01ERQJr
Carabao Cup,SEMI FINALI,04.02.2026,Manchester City,Newcastle,1 Tempo,32',Casa,Gol,Reijnders T.,3-0,d01ERQJr
Carabao Cup,SEMI FINALI,04.02.2026,Manchester City,Newcastle,1 Tempo,44',Ospite,Sostituzione - Esce,Gordon A.,,d01ERQJr
Carabao Cup,SEMI FINALI,04.02.2026,Manchester City,Newcastle,1 Tempo,44',Ospite,Sostituzione - Entra,Barnes H.,,d01ERQJr
Carabao Cup,SEMI FINALI,04.02.2026,Manchester City,Newcastle,2 Tempo,46',Casa,Sostituzione - Esce,Ake N.,,d01ERQJr
Carabao Cup,SEMI FINALI,04.02.2026,Manchester City,Newcastle,2 Tempo,46',Casa,Sostituzione - Entra,Alleyne M.,,d01ERQJr
Carabao Cup,SEMI FINALI,04.02.2026,Manchester City,Newcastle,2 Tempo,46',Ospite,Sostituzione - Esce,Woltemade N.,,d01ERQJr
Carabao Cup,SEMI FINALI,04.02.2026,Manchester City,Newcastle,2 Tempo,46',Ospite,Sostituzione - Entra,Wissa Y.,,d01ERQJr
Carabao Cup,SEMI FINALI,04.02.2026,Manchester City,Newcastle,2 Tempo,46',Ospite,Sostituzione - Esce,Willock J.,,d01ERQJr
Carabao Cup,SEMI FINALI,04.02.2026,Manchester City,Newcastle,2 Tempo,46',Ospite,Sostituzione - Entra,Elanga A.,,d01ERQJr
Carabao Cup,SEMI FINALI,04.02.2026,Manchester City,Newcastle,2 Tempo,46',Ospite,Sostituzione - Esce,Hall L.,,d01ERQJr
Carabao Cup,SEMI FINALI,04.02.2026,Manchester City,Newcastle,2 Tempo,46',Ospite,Sostituzione - Entra,Murphy J.,,d01ERQJr
Carabao Cup,SEMI FINALI,04.02.2026,Manchester City,Newcastle,2 Tempo,62',Ospite,Gol,Elanga A.,3-1,d01ERQJr
Carabao Cup,SEMI FINALI,04.02.2026,Manchester City,Newcastle,2 Tempo,62',Ospite,Assist,Thiaw M.,3-1,d01ERQJr
Carabao Cup,SEMI FINALI,04.02.2026,Manchester City,Newcastle,2 Tempo,71',Casa,Sostituzione - Esce,O'Reilly N.,,d01ERQJr
Carabao Cup,SEMI FINALI,04.02.2026,Manchester City,Newcastle,2 Tempo,71',Casa,Sostituzione - Entra,Rodri,,d01ERQJr
