Competizione,Turno,Data,Casa,Ospite,Lato,Squadra,Modulo,Gruppo,Ordine,Numero,Giocatore,Ruolo,Rating,Entrato al,Uscito al,ID partita
Carabao Cup,FINALE,22.03.2026,Arsenal,Manchester City,Casa,Arsenal,4-2-3-1,Titolare,1,13,Arrizabalaga K.,Portiere,5.2,,,rJ3qBSJD
Carabao Cup,FINALE,22.03.2026,Arsenal,Manchester City,Casa,Arsenal,4-2-3-1,Titolare,2,4,White B.,,6.2,,82',rJ3qBSJD
Carabao Cup,FINALE,22.03.2026,Arsenal,Manchester City,Casa,Arsenal,4-2-3-1,Titolare,3,2,Saliba W.,,7.2,,,rJ3qBSJD
Carabao Cup,FINALE,22.03.2026,Arsenal,Manchester City,Casa,Arsenal,4-2-3-1,Titolare,4,6,Gabriel,,6.4,,,rJ3qBSJD
Carabao Cup,FINALE,22.03.2026,Arsenal,Manchester City,Casa,Arsenal,4-2-3-1,Titolare,5,5,Hincapie P.,,5.5,,65',rJ3qBSJD
Carabao Cup,FINALE,22.03.2026,Arsenal,Manchester City,Casa,Arsenal,4-2-3-1,Titolare,6,36,Zubimendi M.,,6.8,,,rJ3qBSJD
Carabao Cup,FINALE,22.03.2026,Arsenal,Manchester City,Casa,Arsenal,4-2-3-1,Titolare,7,41,Rice D.,,6.6,,,rJ3qBSJD
Carabao Cup,FINALE,22.03.2026,Arsenal,Manchester City,Casa,Arsenal,4-2-3-1,Titolare,8,7,Saka B.,Capitano,5.6,,,rJ3qBSJD
Carabao Cup,FINALE,22.03.2026,Arsenal,Manchester City,Casa,Arsenal,4-2-3-1,Titolare,9,29,Havertz K.,,5.5,,66',rJ3qBSJD
Carabao Cup,FINALE,22.03.2026,Arsenal,Manchester City,Casa,Arsenal,4-2-3-1,Titolare,10,19,Trossard L.,,6.1,,82',rJ3qBSJD
Carabao Cup,FINALE,22.03.2026,Arsenal,Manchester City,Casa,Arsenal,4-2-3-1,Titolare,11,14,Gyökeres V.,,5.4,,,rJ3qBSJD
