Competizione,Turno,Data,Casa,Ospite,Gol casa 90,Gol ospite 90,Gol casa dts,Gol ospite dts,Rigori casa,Rigori ospite,Risultato (esteso),Nota andata/ritorno,Stat giocatori disponibili,ID partita
Carabao Cup,FINALE,22.03.2026,Arsenal,Manchester City,0,2,,,,,0-2,Campo neutro - Wembley Stadium.,Sì,rJ3qBSJD
Carabao Cup,SEMI FINALI,04.02.2026,Manchester City,Newcastle,3,1,,,,,3-1,Risultato andata: 2-0. Totale: 5-1.,Sì,d01ERQJr
Carabao Cup,SEMI FINALI,03.02.2026,Arsenal,Chelsea,1,0,,,,,1-0,Risultato andata: 3-2. Totale: 4-2.,Sì,f3TFiSUj
Carabao Cup,SEMI FINALI,14.01.2026,Chelsea,Arsenal,2,3,,,,,2-3,1° turno.,Sì,OG6rAzoI
Carabao Cup,SEMI FINALI,13.01.2026,Newcastle,Manchester City,0,2,,,,,0-2,1° turno.,Sì,nRFrXndL
Carabao Cup,QUARTI DI FINALE,23.12.2025,Arsenal,Crystal Palace,1,1,,,8,7,"1-1, poi rigori 8-7",,Sì,lAjU9kWj
Carabao Cup,QUARTI DI FINALE,17.12.2025,Newcastle,Fulham,2,1,,,,,2-1,,Sì,t4wGXhOc
Carabao Cup,QUARTI DI FINALE,17.12.2025,Manchester City,Brentford,2,0,,,,,2-0,,Sì,UP9cFB8T
Carabao Cup,QUARTI DI FINALE,16.12.2025,Cardiff,Chelsea,1,3,,,,,1-3,,Sì,06gHVWhA
Carabao Cup,1/8 FINALE,29.10.2025,Newcastle,Tottenham,2,0,,,,,2-0,,Sì,U9X1NLGM
Carabao Cup,1/8 FINALE,29.10.2025,Arsenal,Brighton,2,0,,,,,2-0,,Sì,KfvZFw9d
Carabao Cup,1/8 FINALE,29.10.2025,Liverpool,Crystal Palace,0,3,,,,,0-3,,Sì,CUzRHavp
Carabao Cup,1/8 FINALE,29.10.2025,Swansea,Manchester City,1,3,,,,,1-3,,Sì,ddZgPsnA
Carabao Cup,1/8 FINALE,29.10.2025,Wolves,Chelsea,3,4,,,,,3-4,,Sì,8GKTyLVF
Carabao Cup,1/8 FINALE,28.10.2025,Wrexham,Cardiff,1,2,,,,,1-2,,Sì,lQSyza0S
Carabao Cup,1/8 FINALE,28.10.2025,Grimsby,Brentford,0,5,,,,,0-5,,Sì,0jHLws13
Carabao Cup,1/8 FINALE,28.10.2025,Wycombe,Fulham,1,1,,,4,5,"1-1, poi rigori 4-5",,Sì,0UuoR3Hc
Carabao Cup,1/16 FINALE,24.09.2025,Port Vale,Arsenal,0,2,,,,,0-2,,Sì,6omle85S
