Competizione,Turno,Data,Casa,Ospite,Lato,Squadra,Giocatore,Ruolo,Stato,Rating,ID partita,PENALTIES_COMMITTED,PENALTY_SHOOTOUT_ATTEMPTS_SAVES,PENALTY_SHOOTOUT_ATTEMPTS_SCORED,HIT_WOODWORK,TURNOVERS,CHALLENGE_LOST,PENALTIES_NOT_CONVERTED,PENALTY_SHOOTOUT_ATTEMPTS_NOT_CONVERTED,GOALS_PREVENTED_NO_PENALTIES,PASSES_OPEN_PLAY_ACCURACY,PASSES_OPEN_PLAY_ACCURATE,PASSES_OPEN_PLAY_TOTAL,DUELS_EFFICIENCY,TACKLE_LAST_MAN,CLEARANCES_OFF_LINE,BIG_CHANCES_SAVED,PENALTIES_SAVED,GOALS_PENALTY,PENALTIES_WON,ASSISTS_GOAL,BIG_CHANCES_CREATED,BIG_CHANCES_MISSED,CARDS_RED,CARDS_YELLOW,CLEARANCES,CROSSES_ACCURACY,CROSSES_TOTAL,CROSSES_ACCURATE,DRIBBLES_EFFICIENCY,DUELS_AERIAL_TOTAL,DRIBBLES_TOTAL,DRIBBLES_WON,DUELS_AERIAL_EFFICIENCY,DUELS_AERIAL_WON,DUELS_GROUND_EFFICIENCY,DUELS_GROUND_TOTAL,DUELS_GROUND_WON,DUELS_TOTAL,ERRORS_LEAD_TO_GOAL,ERRORS_LEAD_TO_SHOT,EXPECTED_ASSISTS,EXPECTED_GOALS,EXPECTED_GOALS_ON_TARGET,EXPECTED_GOALS_ON_TARGET_FACED,FOULS_COMMITTED,FOULS_SUFFERED,GOALS,GOALS_CONCEDED,GOALS_OWN,GOALS_PREVENTED,INTERCEPTIONS,KEEPER_SWEEPER_TOTAL,KEEPER_THROWS_TOTAL,LONG_BALLS_ACCURACY,LONG_BALLS_TOTAL,LONG_BALLS_ACCURATE,MATCH_MINUTES_PLAYED,OFFSIDES,PASSES_ACCURACY,PASSES_TOTAL,PASSES_ACCURATE,PASSES_FINAL_THIRD_ACCURACY,PASSES_FINAL_THIRD_TOTAL,PASSES_FINAL_THIRD_ACCURATE,PUNCHES_TOTAL,SAVES_TOTAL,SHOTS_BLOCKED,SHOTS_BOX_IN,SHOTS_BOX_OUT,SHOTS_HEAD,SHOTS_OFF_TARGET,SHOTS_ON_TARGET,SHOTS_TOTAL,TACKLES_EFFICIENCY,TACKLES_TOTAL,TACKLES_WON,TOUCHES_BOX_OPPOSITE,TOUCHES_TOTAL,SHOTS_FACED,CARDS_YELLOW_SECOND,MATCH_ON_PITCH_LIVE,MATCH_MINUTES_PLAYED_LIVE,KEY_PASSES,BOX_ENTRIES_EFFICIENCY,BOX_ENTRIES_ACCURATE,BOX_ENTRIES_TOTAL,THROUGH_BALLS,LAYOFFS_ACCURACY,LAYOFFS_ACCURATE,LAYOFFS_TOTAL,FINAL_THIRD_ENTRIES_TOTAL,FINAL_THIRD_ENTRIES_SUCCESSFUL,FINAL_THIRD_ENTRIES_EFFICIENCY,BALL_RECOVERIES,HIGH_CLAIM_EFFICIENCY,HIGH_CLAIM_TOTAL,HIGH_CLAIM_SAVED,DUELS_WON,OUTFIELDER_BLOCKS,PROGRESSIVE_CARRIES,PROGRESSIVE_PASSES_TOTAL,PROGRESSIVE_PASSES_ACCURACY,PROGRESSIVE_PASSES_ACCURATE
Carabao Cup,1° turno,12.08.2025,Swansea,Crawley,Casa,Swansea,Burgess Cameron,Difensore centrale,Titolare,6.8,YacLFb8E,0,0,0,0,0,1,0,0,0.069,0.71875,46,64,0.666667,0,0,0,0,0,0,0,0,0,0,0,6,0.0,0,0,0.0,5,0,0,0.8,4,0.0,1,0,6,0,0,0.011555,0.0,0.0,1.069,0,0,0,1,0,0.069,0,0,0,0.35,20,7,90,0,0.723077,65,47,0.7,10,7,0,0,0,0,0,0,0,0,0,0.0,0,0,1,74,1,0,0,90,1,0,0,0,0,0.0,0,0,10,0,0,2,0.0,0,0,4,1,0,26,0.461538,12
Carabao Cup,1° turno,12.08.2025,Swansea,Crawley,Casa,Swansea,Eom Ji-Sung,Centrocampista,Subentrato,6.9,YacLFb8E,0,0,0,0,1,0,0,0,0.069,0.8,8,10,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.333333,1,3,1,0.0,0,0.333333,3,1,4,0,0,0.13387,0.5179,0.3642,1.069,2,0,0,1,0,0.069,0,0,0,0.0,0,0,27,0,0.8,10,8,0.777778,9,7,0,0,0,3,0,0,1,2,3,0.0,0,0,6,19,1,0,0,26,0,0,0,0,0,0.0,0,0,1,0,0,4,0.0,0,0,1,0,0,4,0.75,3
Carabao Cup,1° turno,12.08.2025,Swansea,Crawley,Casa,Swansea,Casey Kaelan,Difensore centrale,Titolare,7.6,YacLFb8E,0,0,0,0,0,0,0,0,-0.0054,0.716981,38,53,0.857143,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0,0,0.0,9,0,0,0.888889,8,0.8,5,4,14,0,0,0.006173,0.1825,0.0,0.9946,1,1,0,1,0,-0.0054,2,0,0,0.222222,9,2,78,0,0.722222,54,39,0.125,8,1,0,0,2,3,0,2,1,0,3,0.333333,3,1,5,70,1,0,0,78,0,0,0,0,0,0.0,0,0,8,0,0,1,0.0,0,0,12,1,0,14,0.285714,4
Carabao Cup,1° turno,12.08.2025,Swansea,Crawley,Casa,Swansea,Wales Bobby,Attaccante,Subentrato,8.1,YacLFb8E,0,0,0,0,2,0,0,0,0.069,0.6,3,5,0.75,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0,0,0.0,3,0,0,1.0,3,0.0,1,0,4,0,0,0.010546,0.2398,0.5997,1.069,1,0,1,1,0,0.069,0,0,0,1.0,1,1,27,1,0.666667,6,4,1.0,2,2,0,0,0,2,0,0,1,1,2,0.0,0,0,3,11,1,0,0,26,2,0,0,0,0,0.0,0,0,1,0,0,0,0.0,0,0,3,0,0,2,0.5,1
Carabao Cup,1° turno,12.08.2025,Swansea,Crawley,Casa,Swansea,Inoussa Zeidane,Ala,Titolare,7.3,YacLFb8E,0,0,0,0,1,0,0,0,0.0,0.565217,13,23,0.5,0,0,0,0,0,0,0,1,0,0,0,0,1.0,1,1,0.4,3,5,2,0.666667,2,0.428571,7,3,10,0,0,0.487534,0.2642,0.0,0.0,0,1,0,0,0,0.0,0,0,0,0.0,1,0,64,1,0.565217,23,13,0.666667,6,4,0,0,2,3,0,0,1,0,3,0.0,0,0,6,39,0,0,0,64,1,0,0,0,0,0.5,1,2,2,0,0,3,0.0,0,0,5,0,0,4,0.5,2
Carabao Cup,1° turno,12.08.2025,Swansea,Crawley,Casa,Swansea,Parker Arthur,Difensore,Subentrato,6.4,YacLFb8E,0,0,0,0,0,0,0,0,0.0745,0.857143,6,7,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,1,0,0,1.0,1,0.0,0,0,1,0,0,0.000544,0.0583,0.0,0.0745,0,0,0,0,0,0.0745,0,0,0,0.5,2,1,13,0,0.857143,7,6,0.0,0,0,0,0,0,1,0,1,1,0,1,0.0,0,0,1,8,0,0,0,12,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,1,0,0,3,0.666667,2
Carabao Cup,1° turno,12.08.2025,Swansea,Crawley,Casa,Swansea,Parker Samuel,Terzino,Titolare,7.4,YacLFb8E,0,0,0,0,1,0,0,0,0.069,0.759259,41,54,0.875,0,0,0,0,0,0,0,0,0,0,0,4,0.0,1,0,1.0,3,1,1,0.666667,2,1.0,5,5,8,0,0,0.08184,0.0241,0.0487,1.069,0,0,0,1,0,0.069,1,0,0,0.0,2,0,90,0,0.759259,54,41,0.5,8,4,0,0,0,0,1,0,0,1,1,0.75,4,3,0,85,1,0,0,90,1,0,0,5,0,0.0,0,0,4,0,0,8,0.0,0,0,7,0,0,12,0.416667,5
Carabao Cup,1° turno,12.08.2025,Swansea,Crawley,Casa,Swansea,Vipotnik Zan,Attaccante,Titolare,6.1,YacLFb8E,0,0,0,0,1,0,0,0,0.0,0.785714,11,14,0.166667,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0.0,5,0,0,0.2,1,0.0,1,0,6,0,0,0.002622,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,1.0,2,2,64,1,0.785714,14,11,0.75,4,3,0,0,0,0,0,0,0,0,0,0.0,0,0,1,16,0,0,0,64,0,0,0,0,0,1.0,3,3,3,0,0,1,0.0,0,0,1,0,0,1,1.0,1
Carabao Cup,1° turno,12.08.2025,Swansea,Crawley,Casa,Swansea,Ronald,Ala,Titolare,7.4,YacLFb8E,0,0,0,0,4,0,0,0,0.0,0.6875,11,16,0.307692,0,0,0,0,0,0,0,0,1,0,0,1,0.0,1,0,0.5,5,2,1,0.0,0,0.5,8,4,13,0,0,0.011642,0.9012,0.5941,0.0,0,2,1,0,0,0.0,1,0,0,0.0,0,0,74,0,0.6875,16,11,0.5,10,5,0,0,0,2,0,0,1,1,2,1.0,1,1,5,31,0,0,0,74,1,0,0,1,0,0.0,0,0,1,0,0,1,0.0,0,0,4,0,0,4,0.25,1
Carabao Cup,1° turno,12.08.2025,Swansea,Crawley,Casa,Swansea,Franco Goncalo,Centrocampista,Subentrato,6.6,YacLFb8E,0,0,0,0,1,0,0,0,0.0745,0.6,3,5,0.666667,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0,0,1.0,1,1,1,0.0,0,1.0,2,2,3,0,0,0.01337,0.0,0.0,0.0745,1,1,0,0,0,0.0745,0,0,0,0.0,0,0,12,0,0.6,5,3,0.5,2,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,10,0,0,0,11,1,0,0,1,0,0.0,0,0,1,0,0,2,0.0,0,0,2,0,0,1,0.0,0
Carabao Cup,1° turno,12.08.2025,Swansea,Crawley,Casa,Swansea,Congreve Cameron,Centrocampista,Subentrato,6.2,YacLFb8E,0,0,0,0,0,0,0,0,0.069,0.75,3,4,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0.0,0,1,0,0.0,0,0.0,1,0,1,0,0,0.001131,0.242,0.3381,1.069,0,0,0,1,0,0.069,0,0,0,1.0,1,1,17,1,0.75,4,3,0.5,2,1,0,0,0,1,0,0,0,1,1,0.0,0,0,3,8,1,0,0,16,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.0,0
