Competizione,Turno,Data,Casa,Ospite,Periodo,Minuto,Lato,Tipo evento,Giocatore,Punteggio dopo,ID partita
FA Cup,3° turno,09.01.2026,Wrexham,Nottingham,1 Tempo,37',Casa,Gol,Cacace L.,1-0,MTifJyiD
FA Cup,3° turno,09.01.2026,Wrexham,Nottingham,1 Tempo,37',Casa,Assist,Dobson G.,1-0,MTifJyiD
FA Cup,3° turno,09.01.2026,Wrexham,Nottingham,1 Tempo,40',Casa,Gol,Rathbone O.,2-0,MTifJyiD
FA Cup,3° turno,09.01.2026,Wrexham,Nottingham,1 Tempo,40',Casa,Assist,Broadhead N.,2-0,MTifJyiD
FA Cup,3° turno,09.01.2026,Wrexham,Nottingham,2 Tempo,46',Ospite,Sostituzione - Esce,Zinchenko O.,,MTifJyiD
FA Cup,3° turno,09.01.2026,Wrexham,Nottingham,2 Tempo,46',Ospite,Sostituzione - Entra,Williams N.,,MTifJyiD
FA Cup,3° turno,09.01.2026,Wrexham,Nottingham,2 Tempo,46',Ospite,Sostituzione - Esce,Bakwa D.,,MTifJyiD
FA Cup,3° turno,09.01.2026,Wrexham,Nottingham,2 Tempo,46',Ospite,Sostituzione - Entra,Gibbs-White M.,,MTifJyiD
FA Cup,3° turno,09.01.2026,Wrexham,Nottingham,2 Tempo,46',Ospite,Sostituzione - Esce,McAtee J.,,MTifJyiD
FA Cup,3° turno,09.01.2026,Wrexham,Nottingham,2 Tempo,46',Ospite,Sostituzione - Entra,Dominguez N.,,MTifJyiD
FA Cup,3° turno,09.01.2026,Wrexham,Nottingham,2 Tempo,60',Casa,Sostituzione - Esce,Cacace L.,,MTifJyiD
FA Cup,3° turno,09.01.2026,Wrexham,Nottingham,2 Tempo,60',Casa,Sostituzione - Entra,Thomason G.,,MTifJyiD
FA Cup,3° turno,09.01.2026,Wrexham,Nottingham,2 Tempo,64',Ospite,Gol,Igor Jesus,2-1,MTifJyiD
FA Cup,3° turno,09.01.2026,Wrexham,Nottingham,2 Tempo,64',Ospite,Assist,Savona N.,2-1,MTifJyiD
FA Cup,3° turno,09.01.2026,Wrexham,Nottingham,2 Tempo,69',Casa,Sostituzione - Esce,Broadhead N.,,MTifJyiD
FA Cup,3° turno,09.01.2026,Wrexham,Nottingham,2 Tempo,69',Casa,Sostituzione - Entra,Windass J.,,MTifJyiD
FA Cup,3° turno,09.01.2026,Wrexham,Nottingham,2 Tempo,69',Casa,Sostituzione - Esce,Rathbone O.,,MTifJyiD
FA Cup,3° turno,09.01.2026,Wrexham,Nottingham,2 Tempo,69',Casa,Sostituzione - Entra,O'Brien L.,,MTifJyiD
FA Cup,3° turno,09.01.2026,Wrexham,Nottingham,2 Tempo,69',Ospite,Sostituzione - Esce,Ndoye D.,,MTifJyiD
FA Cup,3° turno,09.01.2026,Wrexham,Nottingham,2 Tempo,69',Ospite,Sostituzione - Entra,Hudson-Odoi C.,,MTifJyiD
FA Cup,3° turno,09.01.2026,Wrexham,Nottingham,2 Tempo,74',Casa,Gol,Hyam D.,3-1,MTifJyiD
FA Cup,3° turno,09.01.2026,Wrexham,Nottingham,2 Tempo,74',Casa,Assist,Dobson G.,3-1,MTifJyiD
FA Cup,3° turno,09.01.2026,Wrexham,Nottingham,2 Tempo,76',Ospite,Gol,Hudson-Odoi C.,3-2,MTifJyiD
FA Cup,3° turno,09.01.2026,Wrexham,Nottingham,2 Tempo,87',Ospite,Cartellino Giallo,Hutchinson O.,,MTifJyiD
FA Cup,3° turno,09.01.2026,Wrexham,Nottingham,2 Tempo,87',Ospite,Cartellino Giallo,Douglas Luiz,,MTifJyiD
FA Cup,3° turno,09.01.2026,Wrexham,Nottingham,2 Tempo,88',Ospite,Sostituzione - Esce,Douglas Luiz,,MTifJyiD
FA Cup,3° turno,09.01.2026,Wrexham,Nottingham,2 Tempo,88',Ospite,Sostituzione - Entra,Awoniyi T.,,MTifJyiD
FA Cup,3° turno,09.01.2026,Wrexham,Nottingham,2 Tempo,88',Casa,Sostituzione - Esce,Sheaf B.,,MTifJyiD
FA Cup,3° turno,09.01.2026,Wrexham,Nottingham,2 Tempo,88',Casa,Sostituzione - Entra,McClean J.,,MTifJyiD
FA Cup,3° turno,09.01.2026,Wrexham,Nottingham,2 Tempo,89',Ospite,Gol,Hudson-Odoi C.,3-3,MTifJyiD
FA Cup,3° turno,09.01.2026,Wrexham,Nottingham,2 Tempo,89',Ospite,Assist,Savona N.,3-3,MTifJyiD
FA Cup,3° turno,09.01.2026,Wrexham,Nottingham,Supplementari,91',Casa,Sostituzione - Esce,Longman R.,,MTifJyiD
FA Cup,3° turno,09.01.2026,Wrexham,Nottingham,Supplementari,91',Casa,Sostituzione - Entra,Barnett R.,,MTifJyiD
FA Cup,3° turno,09.01.2026,Wrexham,Nottingham,Supplementari,97',Ospite,Sostituzione - Esce,Savona N.,,MTifJyiD
FA Cup,3° turno,09.01.2026,Wrexham,Nottingham,Supplementari,97',Ospite,Sostituzione - Entra,Murillo,,MTifJyiD
FA Cup,3° turno,09.01.2026,Wrexham,Nottingham,Supplementari,100',Casa,Sostituzione - Esce,Smith S.,,MTifJyiD
FA Cup,3° turno,09.01.2026,Wrexham,Nottingham,Supplementari,100',Casa,Sostituzione - Entra,Rodriguez J.,,MTifJyiD
FA Cup,3° turno,09.01.2026,Wrexham,Nottingham,Supplementari,112',Ospite,Cartellino Giallo,Morato,,MTifJyiD
FA Cup,3° turno,09.01.2026,Wrexham,Nottingham,Supplementari,112',Ospite,Cartellino Giallo,Dominguez N.,,MTifJyiD
FA Cup,3° turno,09.01.2026,Wrexham,Nottingham,Supplementari,120',Casa,Cartellino Giallo,Windass J.,,MTifJyiD
FA Cup,3° turno,09.01.2026,Wrexham,Nottingham,Rigori,1,Casa,Rigore Assegnato,Windass J.,,MTifJyiD
FA Cup,3° turno,09.01.2026,Wrexham,Nottingham,Rigori,1,Casa,Rigore,Windass J.,,MTifJyiD
FA Cup,3° turno,09.01.2026,Wrexham,Nottingham,Rigori,1,Ospite,Rigore Assegnato,Gibbs-White M.,,MTifJyiD
FA Cup,3° turno,09.01.2026,Wrexham,Nottingham,Rigori,1,Ospite,Rigore,Gibbs-White M.,,MTifJyiD
FA Cup,3° turno,09.01.2026,Wrexham,Nottingham,Rigori,2,Casa,Rigore Assegnato,McClean J.,,MTifJyiD
FA Cup,3° turno,09.01.2026,Wrexham,Nottingham,Rigori,2,Casa,Rigore sbagliato,McClean J.,,MTifJyiD
FA Cup,3° turno,09.01.2026,Wrexham,Nottingham,Rigori,2,Ospite,Rigore Assegnato,Igor Jesus,,MTifJyiD
FA Cup,3° turno,09.01.2026,Wrexham,Nottingham,Rigori,2,Ospite,Rigore sbagliato,Igor Jesus,,MTifJyiD
FA Cup,3° turno,09.01.2026,Wrexham,Nottingham,Rigori,3,Casa,Rigore Assegnato,Doyle C.,,MTifJyiD
FA Cup,3° turno,09.01.2026,Wrexham,Nottingham,Rigori,3,Casa,Rigore,Doyle C.,,MTifJyiD
FA Cup,3° turno,09.01.2026,Wrexham,Nottingham,Rigori,3,Ospite,Rigore Assegnato,Hudson-Odoi C.,,MTifJyiD
