Competizione,Turno,Data,Casa,Ospite,Lato,Squadra,Modulo,Gruppo,Ordine,Numero,Giocatore,Ruolo,Rating,Entrato al,Uscito al,ID partita
FA Cup,3° turno,09.01.2026,Wrexham,Nottingham,Casa,Wrexham,3-4-2-1,Titolare,1,1,Okonkwo A.,Portiere,7.5,,,MTifJyiD
FA Cup,3° turno,09.01.2026,Wrexham,Nottingham,Casa,Wrexham,3-4-2-1,Titolare,2,5,Hyam D.,Capitano,6.7,,,MTifJyiD
FA Cup,3° turno,09.01.2026,Wrexham,Nottingham,Casa,Wrexham,3-4-2-1,Titolare,3,24,Scarr D.,,6.7,,,MTifJyiD
FA Cup,3° turno,09.01.2026,Wrexham,Nottingham,Casa,Wrexham,3-4-2-1,Titolare,4,2,Doyle C.,,7.5,,,MTifJyiD
FA Cup,3° turno,09.01.2026,Wrexham,Nottingham,Casa,Wrexham,3-4-2-1,Titolare,5,47,Longman R.,,6.4,,91',MTifJyiD
FA Cup,3° turno,09.01.2026,Wrexham,Nottingham,Casa,Wrexham,3-4-2-1,Titolare,6,18,Sheaf B.,,6.3,,88',MTifJyiD
FA Cup,3° turno,09.01.2026,Wrexham,Nottingham,Casa,Wrexham,3-4-2-1,Titolare,7,15,Dobson G.,,7.6,,,MTifJyiD
FA Cup,3° turno,09.01.2026,Wrexham,Nottingham,Casa,Wrexham,3-4-2-1,Titolare,8,13,Cacace L.,,7.2,,60',MTifJyiD
FA Cup,3° turno,09.01.2026,Wrexham,Nottingham,Casa,Wrexham,3-4-2-1,Titolare,9,20,Rathbone O.,,7.9,,69',MTifJyiD
FA Cup,3° turno,09.01.2026,Wrexham,Nottingham,Casa,Wrexham,3-4-2-1,Titolare,10,33,Broadhead N.,,7.3,,69',MTifJyiD
FA Cup,3° turno,09.01.2026,Wrexham,Nottingham,Casa,Wrexham,3-4-2-1,Titolare,11,28,Smith S.,,7.0,,100',MTifJyiD
FA Cup,3° turno,09.01.2026,Wrexham,Nottingham,Casa,Wrexham,3-4-2-1,Panchina,1,45,Ashfield H.,,,,,MTifJyiD
FA Cup,3° turno,09.01.2026,Wrexham,Nottingham,Casa,Wrexham,3-4-2-1,Panchina,2,29,Barnett R.,,6.7,91',,MTifJyiD
FA Cup,3° turno,09.01.2026,Wrexham,Nottingham,Casa,Wrexham,3-4-2-1,Panchina,3,25,Burton C.,Portiere,,,,MTifJyiD
FA Cup,3° turno,09.01.2026,Wrexham,Nottingham,Casa,Wrexham,3-4-2-1,Panchina,4,6,Coady C.,,,,,MTifJyiD
FA Cup,3° turno,09.01.2026,Wrexham,Nottingham,Casa,Wrexham,3-4-2-1,Panchina,5,7,McClean J.,,6.2,88',,MTifJyiD
FA Cup,3° turno,09.01.2026,Wrexham,Nottingham,Casa,Wrexham,3-4-2-1,Panchina,6,27,O'Brien L.,,7.0,69',,MTifJyiD
FA Cup,3° turno,09.01.2026,Wrexham,Nottingham,Casa,Wrexham,3-4-2-1,Panchina,7,16,Rodriguez J.,,6.4,100',,MTifJyiD
FA Cup,3° turno,09.01.2026,Wrexham,Nottingham,Casa,Wrexham,3-4-2-1,Panchina,8,14,Thomason G.,,6.9,60',,MTifJyiD
FA Cup,3° turno,09.01.2026,Wrexham,Nottingham,Casa,Wrexham,3-4-2-1,Panchina,9,10,Windass J.,,6.7,69',,MTifJyiD
