Competizione,Turno,Data,Casa,Ospite,Gol casa 90,Gol ospite 90,Gol casa dts,Gol ospite dts,Rigori casa,Rigori ospite,Risultato (esteso),Nota andata/ritorno,Stat giocatori disponibili,ID partita
FA Cup,3° turno,09.01.2026,Wrexham,Nottingham,3,3,3,3,4,3,"3-3, poi rigori 4-3",,Sì,MTifJyiD
FA Cup,3° turno,09.01.2026,Preston,Wigan,0,1,,,,,0-1,,Sì,zZW42nBc
FA Cup,3° turno,09.01.2026,Milton Keynes,Oxford Utd,1,1,1,1,3,4,"1-1, poi rigori 3-4",,Sì,femlyACb
FA Cup,3° turno,09.01.2026,Port Vale,Fleetwood,1,0,,,,,1-0,,Sì,2PUtsuqK
FA Cup,3° turno,10.01.2026,Everton,Sunderland,1,1,1,1,0,3,"1-1, poi rigori 0-3",,Sì,OY97SuUQ
FA Cup,3° turno,10.01.2026,Macclesfield,Crystal Palace,2,1,,,,,2-1,,Sì,4S3fD3PF
FA Cup,3° turno,10.01.2026,Wolves,Shrewsbury,6,1,,,,,6-1,,Sì,xv5vnRQG
FA Cup,3° turno,10.01.2026,Cheltenham,Leicester,0,2,,,,,0-2,,Sì,2LjdZmsB
FA Cup,3° turno,10.01.2026,Newcastle,Bournemouth,2,2,3,3,7,6,"3-3, poi rigori 7-6",,Sì,K4ewNJil
FA Cup,3° turno,10.01.2026,Manchester City,Exeter,10,1,,,,,10-1,,Sì,YuauwWsn
FA Cup,3° turno,10.01.2026,Sheffield Wed,Brentford,0,2,,,,,0-2,,Sì,hjVzS5Zp
FA Cup,3° turno,10.01.2026,Fulham,Middlesbrough,3,1,,,,,3-1,,Sì,8tKigrYq
FA Cup,3° turno,10.01.2026,Burnley,Millwall,5,1,,,,,5-1,,Sì,S6GbU1aE
FA Cup,3° turno,10.01.2026,Ipswich,Blackpool,2,1,,,,,2-1,,Sì,W0QD0QuA
FA Cup,3° turno,10.01.2026,Stoke,Coventry,1,0,,,,,1-0,,Sì,Of3np5eT
FA Cup,3° turno,10.01.2026,Doncaster,Southampton,2,3,,,,,2-3,,Sì,8bDNk9Ri
FA Cup,3° turno,10.01.2026,Boreham Wood,Burton,0,5,,,,,0-5,,Sì,2XbcTqjf
FA Cup,3° turno,10.01.2026,Tottenham,Aston Villa,1,2,,,,,1-2,,Sì,dKq5XRBN
