Competizione,Turno,Data,Casa,Ospite,Lato,Squadra,Giocatore,Ruolo,Stato,Rating,ID partita,PENALTIES_COMMITTED,PENALTY_SHOOTOUT_ATTEMPTS_SAVES,PENALTY_SHOOTOUT_ATTEMPTS_SCORED,HIT_WOODWORK,TURNOVERS,CHALLENGE_LOST,PENALTIES_NOT_CONVERTED,PENALTY_SHOOTOUT_ATTEMPTS_NOT_CONVERTED,GOALS_PREVENTED_NO_PENALTIES,PASSES_OPEN_PLAY_ACCURACY,PASSES_OPEN_PLAY_ACCURATE,PASSES_OPEN_PLAY_TOTAL,DUELS_EFFICIENCY,TACKLE_LAST_MAN,CLEARANCES_OFF_LINE,BIG_CHANCES_SAVED,PENALTIES_SAVED,GOALS_PENALTY,PENALTIES_WON,ASSISTS_GOAL,BIG_CHANCES_CREATED,BIG_CHANCES_MISSED,CARDS_RED,CARDS_YELLOW,CLEARANCES,CROSSES_ACCURACY,CROSSES_TOTAL,CROSSES_ACCURATE,DRIBBLES_EFFICIENCY,DUELS_AERIAL_TOTAL,DRIBBLES_TOTAL,DRIBBLES_WON,DUELS_AERIAL_EFFICIENCY,DUELS_AERIAL_WON,DUELS_GROUND_EFFICIENCY,DUELS_GROUND_TOTAL,DUELS_GROUND_WON,DUELS_TOTAL,ERRORS_LEAD_TO_GOAL,ERRORS_LEAD_TO_SHOT,EXPECTED_ASSISTS,EXPECTED_GOALS,EXPECTED_GOALS_ON_TARGET,EXPECTED_GOALS_ON_TARGET_FACED,FOULS_COMMITTED,FOULS_SUFFERED,GOALS,GOALS_CONCEDED,GOALS_OWN,GOALS_PREVENTED,INTERCEPTIONS,KEEPER_SWEEPER_TOTAL,KEEPER_THROWS_TOTAL,LONG_BALLS_ACCURACY,LONG_BALLS_TOTAL,LONG_BALLS_ACCURATE,MATCH_MINUTES_PLAYED,OFFSIDES,PASSES_ACCURACY,PASSES_TOTAL,PASSES_ACCURATE,PASSES_FINAL_THIRD_ACCURACY,PASSES_FINAL_THIRD_TOTAL,PASSES_FINAL_THIRD_ACCURATE,PUNCHES_TOTAL,SAVES_TOTAL,SHOTS_BLOCKED,SHOTS_BOX_IN,SHOTS_BOX_OUT,SHOTS_HEAD,SHOTS_OFF_TARGET,SHOTS_ON_TARGET,SHOTS_TOTAL,TACKLES_EFFICIENCY,TACKLES_TOTAL,TACKLES_WON,TOUCHES_BOX_OPPOSITE,TOUCHES_TOTAL,SHOTS_FACED,CARDS_YELLOW_SECOND,MATCH_ON_PITCH_LIVE,MATCH_MINUTES_PLAYED_LIVE,KEY_PASSES,BOX_ENTRIES_EFFICIENCY,BOX_ENTRIES_ACCURATE,BOX_ENTRIES_TOTAL,THROUGH_BALLS,LAYOFFS_ACCURACY,LAYOFFS_ACCURATE,LAYOFFS_TOTAL,FINAL_THIRD_ENTRIES_TOTAL,FINAL_THIRD_ENTRIES_SUCCESSFUL,FINAL_THIRD_ENTRIES_EFFICIENCY,BALL_RECOVERIES,HIGH_CLAIM_EFFICIENCY,HIGH_CLAIM_TOTAL,HIGH_CLAIM_SAVED,DUELS_WON,OUTFIELDER_BLOCKS,PROGRESSIVE_CARRIES,PROGRESSIVE_PASSES_TOTAL,PROGRESSIVE_PASSES_ACCURACY,PROGRESSIVE_PASSES_ACCURATE
FA Cup,3° turno,09.01.2026,Milton Keynes,Oxford Utd,Casa,Milton Keynes,Paterson Callum,Attaccante,Subentrato,6.6,femlyACb,0,0,1,0,4,1,0,0,1.228,0.375,3,8,0.285714,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0,0,0.0,2,0,0,0.5,1,0.2,5,1,7,0,0,0.010052,0.0271,0.0,1.228,3,1,0,0,0,1.228,0,0,0,0.0,1,0,48,1,0.375,8,3,0.4,5,2,0,0,0,1,0,0,1,0,1,0.0,0,0,1,19,0,0,0,48,0,0.0,0,1,1,0.0,0,0,2,0,0.0,3,0.0,0,0,2,0,0,0,0.0,0
FA Cup,3° turno,09.01.2026,Milton Keynes,Oxford Utd,Casa,Milton Keynes,Collins Aaron,Attaccante,Titolare,7.3,femlyACb,0,0,0,0,4,0,0,0,1.2172,0.5,7,14,0.454545,0,0,0,0,0,0,0,0,3,0,0,1,0.25,4,1,0.0,4,4,0,0.25,1,0.571429,7,4,11,0,0,0.294513,1.9109,1.5631,2.2172,0,2,1,1,0,1.2172,1,0,0,0.5,2,1,120,1,0.533333,15,8,0.444444,9,4,0,0,0,5,0,2,1,4,5,1.0,2,2,6,43,1,0,0,120,2,0.0,0,4,0,0.0,0,0,1,0,0.0,3,0.0,0,0,5,0,0,0,0.0,0
FA Cup,3° turno,09.01.2026,Milton Keynes,Oxford Utd,Casa,Milton Keynes,Hogan Scott,Attaccante,Titolare,5.8,femlyACb,0,0,0,0,0,0,0,0,-0.0108,0.833333,5,6,0.142857,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0.0,4,2,0,0.25,1,0.0,3,0,7,0,0,0.001165,0.4191,0.1499,0.9892,1,0,0,1,0,-0.0108,0,0,0,1.0,1,1,72,0,0.857143,7,6,1.0,1,1,0,0,1,3,0,1,1,1,3,0.0,0,0,3,15,1,0,0,72,0,0.0,0,0,0,0.0,0,0,1,0,0.0,0,0.0,0,0,1,0,0,0,0.0,0
FA Cup,3° turno,09.01.2026,Milton Keynes,Oxford Utd,Casa,Milton Keynes,Sanders Jack,Difensore centrale,Titolare,7.6,femlyACb,0,0,1,0,0,0,0,0,1.2172,0.857143,30,35,0.764706,0,0,0,0,0,0,0,0,0,0,0,17,0.0,0,0,0.0,9,0,0,0.888889,8,0.625,8,5,17,0,0,0.115592,0.0823,0.3684,2.2172,3,3,0,1,0,1.2172,1,0,0,0.666667,3,2,120,1,0.861111,36,31,0.571429,7,4,0,0,0,1,0,1,0,1,1,0.5,2,1,4,62,1,0,0,120,1,0.0,0,2,0,0.0,0,0,2,0,0.0,1,0.0,0,0,13,0,0,0,0.0,0
FA Cup,3° turno,09.01.2026,Milton Keynes,Oxford Utd,Casa,Milton Keynes,Nemane Aaron,Esterno,Titolare,6.4,femlyACb,0,0,0,0,1,0,0,0,-0.0108,0.692308,9,13,0.5,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0,0,0.5,1,4,2,0.0,0,0.666667,3,2,4,0,0,0.022107,0.0,0.0,0.9892,0,0,0,1,0,-0.0108,1,0,0,0.0,2,0,59,0,0.692308,13,9,0.571429,7,4,0,0,0,0,0,0,0,0,0,0.0,0,0,1,28,1,0,0,59,1,0.0,0,2,0,0.0,0,0,2,0,0.0,2,0.0,0,0,2,0,0,0,0.0,0
FA Cup,3° turno,09.01.2026,Milton Keynes,Oxford Utd,Casa,Milton Keynes,Burke Jack,Difensore,Subentrato,6.3,femlyACb,0,0,0,0,0,0,0,0,0.1446,0.5,2,4,0.0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0,0,1e-06,0.0,0.0,0.1446,0,0,0,0,0,0.1446,0,0,0,0.0,2,0,22,0,0.5,4,2,0.0,1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,8,0,0,0,22,0,0.0,0,0,0,0.0,0,0,1,0,0.0,1,0.0,0,0,0,1,0,0,0.0,0
FA Cup,3° turno,09.01.2026,Milton Keynes,Oxford Utd,Casa,Milton Keynes,MacGillivray Craig,Portiere,Titolare,7.6,femlyACb,0,0,0,0,0,0,0,0,1.2172,0.625,10,16,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0.0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.003167,0.0,0.0,2.2172,0,0,0,1,0,1.2172,0,0,6,0.21875,32,7,120,0,0.418605,43,18,0.1875,16,3,1,5,0,0,0,0,0,0,0,0.0,0,0,0,58,6,0,0,120,0,0.0,0,1,0,0.0,0,0,16,0,0.0,15,1.0,2,2,0,0,0,0,0.0,0
FA Cup,3° turno,09.01.2026,Milton Keynes,Oxford Utd,Casa,Milton Keynes,Matete Jay,Centrocampista,Subentrato,7.4,femlyACb,0,0,1,0,4,1,0,0,1.228,1.0,9,9,0.727273,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0,0,1.0,1,1,1,0.0,0,0.8,10,8,11,0,0,0.272899,0.0,0.0,1.228,0,4,0,0,0,1.228,0,0,0,0.0,0,0,48,0,1.0,9,9,1.0,3,3,0,0,0,0,0,0,0,0,0,0.666667,3,2,0,27,0,0,0,48,1,0.0,0,0,1,0.0,0,0,0,0,0.0,1,0.0,0,0,8,0,0,0,0.0,0
FA Cup,3° turno,09.01.2026,Milton Keynes,Oxford Utd,Casa,Milton Keynes,Leko Jonathan,Attaccante,Subentrato,6.4,femlyACb,0,0,0,0,2,0,0,1,1.228,0.625,5,8,0.333333,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0,0.666667,2,3,2,0.0,0,0.5,4,2,6,0,0,0.002551,0.0,0.0,1.228,1,0,0,0,0,1.228,0,0,0,0.0,0,0,41,0,0.625,8,5,0.333333,3,1,0,0,0,0,0,0,0,0,0,0.0,0,0,0,15,0,0,0,41,0,0.0,0,2,0,0.0,0,0,1,0,0.0,4,0.0,0,0,2,0,0,0,0.0,0
FA Cup,3° turno,09.01.2026,Milton Keynes,Oxford Utd,Casa,Milton Keynes,Offord Luke,Difensore centrale,Titolare,6.9,femlyACb,0,0,0,0,1,0,0,0,1.2172,0.611111,33,54,0.7,0,0,0,0,0,0,0,1,0,0,0,12,0.0,0,0,0.5,5,2,1,0.8,4,0.6,5,3,10,0,0,0.003559,0.0149,0.0,2.2172,1,1,0,1,0,1.2172,1,0,0,0.071429,14,1,120,0,0.6,55,33,0.1,10,1,0,0,1,1,0,1,0,0,1,1.0,1,1,4,85,1,0,0,120,1,0.0,0,0,0,0.0,0,0,8,0,0.0,6,0.0,0,0,7,0,0,0,0.0,0
