Competizione,Turno,Data,Casa,Ospite,Periodo,Lato,Squadra,ID partita,Goal previsti (xG),Possesso palla,Tiri totali,Tiri in porta,Grandi occasioni,Calci d'angolo,Passaggi,Cartellini gialli,Cartellini rossi,xG sui Tiri in porta (xGOT),Tiri fuori,Tiri fermati,Tiri dall'area di rigore,Tiri da fuori area,Pali colpiti,Gol di testa,Palloni toccati nell'area avversaria,Passaggi filtranti riusciti,Fuorigioco,Punizioni,Passaggi lunghi,Passaggi offensivi,Cross,Assist previsti (xA),Rimesse Laterali,Falli,Tackles,Contrasti vinti,Respinte difensive,Palle intercettate,Errori che hanno portato al tiro,Errori che hanno portato al gol,Parate,xGot affrontati,Gol evitati
FA Cup,3° turno,09.01.2026,Milton Keynes,Oxford Utd,Totale,Casa,Milton Keynes,femlyACb,2.5,39%,12,7,5,10,71% (289/407),1.0,,2.13,3,2,11,1,0,,27,2,3,17,24% (19/78),55% (71/130),21% (5/24),1.93,28,14,73% (16/22),74,62,7,0,0,5,2.22,1.22
FA Cup,3° turno,09.01.2026,Milton Keynes,Oxford Utd,Totale,Ospite,Oxford Utd,femlyACb,1.12,61%,18,6,2,5,84% (538/643),0.0,,2.22,6,6,10,8,0,,29,0,3,14,43% (29/68),73% (143/195),10% (4/41),0.96,34,17,74% (14/19),60,28,8,1,0,7,2.13,1.13
FA Cup,3° turno,09.01.2026,Milton Keynes,Oxford Utd,1° tempo,Casa,Milton Keynes,femlyACb,1.32,42%,6,4,3,4,82% (150/184),,,0.99,1,1,5,1,0,,11,0,2,5,21% (4/19),60% (28/47),57% (4/7),0.9,12,4,88% (7/8),25,22,3,0,0,1,0.18,0.18
FA Cup,3° turno,09.01.2026,Milton Keynes,Oxford Utd,1° tempo,Ospite,Oxford Utd,femlyACb,0.34,58%,5,1,1,1,85% (223/263),,,0.18,3,1,3,2,0,,7,0,1,4,35% (9/26),74% (51/69),11% (1/9),0.32,9,5,88% (7/8),21,11,2,1,0,3,0.99,-0.01
FA Cup,3° turno,09.01.2026,Milton Keynes,Oxford Utd,2° tempo,Casa,Milton Keynes,femlyACb,1.15,40%,5,3,2,6,62% (81/130),,,1.14,1,1,5,0,0,,13,2,1,8,25% (8/32),57% (30/53),6% (1/16),0.95,11,5,50% (5/10),32,21,3,0,0,1,1.34,0.34
FA Cup,3° turno,09.01.2026,Milton Keynes,Oxford Utd,2° tempo,Ospite,Oxford Utd,femlyACb,0.45,60%,6,2,1,3,81% (163/201),,,1.34,2,2,5,1,0,,13,0,1,5,50% (11/22),73% (45/62),7% (1/15),0.39,18,8,60% (6/10),24,13,2,0,0,4,1.14,1.14
FA Cup,3° turno,09.01.2026,Milton Keynes,Oxford Utd,Supplementari,Casa,Milton Keynes,femlyACb,0.03,33%,1,0,0,0,62% (58/93),1.0,,0.0,1,0,1,0,0,,3,0,0,4,26% (7/27),43% (13/30),0% (0/1),0.08,5,5,100% (4/4),17,19,1,0,0,3,0.7,0.7
FA Cup,3° turno,09.01.2026,Milton Keynes,Oxford Utd,Supplementari,Ospite,Oxford Utd,femlyACb,0.33,67%,7,3,0,1,85% (152/179),0.0,,0.7,1,3,2,5,0,,9,0,1,5,45% (9/20),73% (47/64),12% (2/17),0.25,7,4,100% (1/1),15,4,4,0,0,0,0.0,0.0
FA Cup,3° turno,09.01.2026,Wrexham,Nottingham,Totale,Casa,Wrexham,MTifJyiD,2.61,38%,17,7,3,8,77% (347/449),1.0,,3.1,8,2,12,5,0,1.0,23,1,3,12,38% (25/65),69% (101/146),35% (8/23),1.3,15,10,58% (15/26),80,53,11,1,0,7,2.89,-0.11
FA Cup,3° turno,09.01.2026,Wrexham,Nottingham,Totale,Ospite,Nottingham,MTifJyiD,2.75,62%,31,10,0,7,87% (648/742),4.0,,2.89,8,13,20,11,0,1.0,57,0,0,10,57% (47/82),82% (232/282),29% (12/41),3.15,25,12,57% (8/14),59,17,11,3,1,4,3.1,0.1
FA Cup,3° turno,09.01.2026,Wrexham,Nottingham,1° tempo,Casa,Wrexham,MTifJyiD,0.94,44%,5,3,1,3,81% (163/202),,,1.38,1,1,3,2,0,,6,0,0,5,33% (7/21),73% (35/48),11% (1/9),0.13,7,3,89% (8/9),29,11,6,0,0,1,0.01,0.01
FA Cup,3° turno,09.01.2026,Wrexham,Nottingham,1° tempo,Ospite,Nottingham,MTifJyiD,0.29,56%,3,1,0,2,85% (217/256),,,0.01,1,1,2,1,0,,12,0,0,3,52% (12/23),72% (47/65),33% (3/9),0.93,13,5,50% (3/6),23,8,4,2,1,1,1.38,-0.62
FA Cup,3° turno,09.01.2026,Wrexham,Nottingham,2° tempo,Casa,Wrexham,MTifJyiD,1.34,36%,9,3,1,3,79% (130/165),0.0,,1.52,5,1,6,3,0,1.0,11,1,2,6,38% (10/26),77% (57/74),50% (4/8),1.0,5,5,45% (5/11),35,16,3,1,0,3,2.52,-0.48
FA Cup,3° turno,09.01.2026,Wrexham,Nottingham,2° tempo,Ospite,Nottingham,MTifJyiD,1.58,64%,15,6,0,2,89% (251/283),2.0,,2.52,3,6,11,4,0,1.0,27,0,0,5,61% (20/33),83% (93/112),29% (5/17),1.21,8,6,50% (2/4),25,2,5,0,0,2,1.52,0.52
FA Cup,3° turno,09.01.2026,Wrexham,Nottingham,Supplementari,Casa,Wrexham,MTifJyiD,0.33,29%,3,1,1,2,66% (54/82),1.0,,0.2,2,0,3,0,0,,6,0,1,1,44% (8/18),38% (9/24),50% (3/6),0.17,3,2,33% (2/6),16,26,2,0,0,3,0.36,0.36
FA Cup,3° turno,09.01.2026,Wrexham,Nottingham,Supplementari,Ospite,Nottingham,MTifJyiD,0.88,71%,13,3,0,3,89% (180/203),2.0,,0.36,4,6,7,6,0,,18,0,0,2,58% (15/26),88% (92/105),27% (4/15),1.01,4,1,75% (3/4),11,7,2,1,0,1,0.2,0.2
FA Cup,3° turno,09.01.2026,Preston,Wigan,Totale,Casa,Preston,zZW42nBc,0.54,70%,12,2,0,3,83% (461/558),1.0,,0.49,7,3,9,3,0,,30,0,3,10,46% (32/70),68% (96/141),35% (6/17),0.9,22,9,50% (8/16),59,46,6,1,0,2,1.4,0.4
FA Cup,3° turno,09.01.2026,Preston,Wigan,Totale,Ospite,Wigan,zZW42nBc,1.71,30%,10,3,3,2,62% (146/235),1.0,,1.4,6,1,8,2,0,,22,1,2,9,32% (24/75),51% (46/91),6% (1/16),0.37,36,10,71% (10/14),36,31,2,0,0,2,0.49,0.49
FA Cup,3° turno,09.01.2026,Preston,Wigan,1° tempo,Casa,Preston,zZW42nBc,0.23,66%,5,0,0,3,83% (217/262),,,0.0,3,2,4,1,0,,8,0,1,7,41% (12/29),72% (46/64),33% (3/9),0.25,13,3,57% (4/7),31,26,2,1,0,0,0.0,0.0
FA Cup,3° turno,09.01.2026,Preston,Wigan,1° tempo,Ospite,Wigan,zZW42nBc,0.21,34%,3,0,1,1,66% (87/131),,,0.0,3,0,3,0,0,,7,1,0,3,33% (13/39),50% (19/38),11% (1/9),0.24,22,7,75% (3/4),15,6,0,0,0,0,0.0,0.0
FA Cup,3° turno,09.01.2026,Preston,Wigan,2° tempo,Casa,Preston,zZW42nBc,0.31,73%,7,2,0,0,82% (244/296),1.0,,0.49,4,1,5,2,0,,22,0,2,3,49% (20/41),65% (50/77),38% (3/8),0.65,9,6,44% (4/9),28,20,4,0,0,2,1.4,0.4
FA Cup,3° turno,09.01.2026,Preston,Wigan,2° tempo,Ospite,Wigan,zZW42nBc,1.5,27%,7,3,2,1,57% (59/104),1.0,,1.4,3,1,5,2,0,,15,0,2,6,31% (11/36),51% (27/53),0% (0/7),0.13,14,3,70% (7/10),21,25,2,0,0,2,0.49,0.49
