"# Lecce-Como 0-3, giornata 17, 27.12.2025 - unica partita senza statistiche alla fonte: solo rating"
Squadra,Giocatore,Ruolo,Titolare/Subentrato,Rating
Como,Butez Jean,Portiere,Titolare,8.8
Como,Moreno Alberto,Difensore,Titolare,6.7
Como,Smolcic Ivan,Difensore,Titolare,6.9
Como,Ramon Jacobo,Difensore,Titolare,7.1
Como,Diego Carlos,Difensore,Titolare,5.9
Como,Paz Nico,Centrocampista,Titolare,8.4
Como,Perrone Maximo,Centrocampista,Titolare,6.5
Como,Da Cunha Lucas,Centrocampista,Titolare,6.5
Como,Vojvoda Mergim,Difensore,Titolare,7.7
Como,Douvikas Anastasios,Attaccante,Titolare,7.7
Como,Rodriguez Jesus,Centrocampista,Titolare,6.5
Como,Kempf Marc Oliver,Difensore,Subentrato,6.5
Como,Kuhn Nicolas-Gerrit,Attaccante,Subentrato,6.4
Como,Van der Brempt Ignace,Difensore,Subentrato,6.4
Lecce,Falcone Wladimiro,Portiere,Titolare,6.4
Lecce,Siebert Jamil,Difensore,Titolare,6
Lecce,Stulic Nikola,Attaccante,Titolare,5.4
Lecce,Veiga Danilo,Difensore,Titolare,6.8
Lecce,Ramadani Ylber,Centrocampista,Titolare,6.3
Lecce,Sottil Riccardo,Attaccante,Titolare,6.5
Lecce,Gallo Antonino,Difensore,Titolare,6.4
Lecce,Oliveira Tiago,Difensore,Titolare,5.8
Lecce,Pierotti Santiago,Attaccante,Titolare,6.1
Lecce,Kaba Mohamed,Centrocampista,Titolare,6.6
Lecce,Maleh Youssef,Centrocampista,Titolare,5.7
Lecce,Sala Alex,Centrocampista,Subentrato,6.2
Lecce,Ndri Konan,Centrocampista,Subentrato,6.9
Lecce,Helgason Thorir Johann,Centrocampista,Subentrato,6.4
Lecce,Camarda Francesco,Attaccante,Subentrato,6.3
