Giornata,Data,Squadra,Campo,Avversario,Risultato squadra,Esito,Periodo,Goal previsti (xG),Possesso palla %,Tiri totali,Tiri in porta,Grandi occasioni,Calci d'angolo,Passaggi riusciti,Passaggi totali,Passaggi %,Cartellini gialli,Cartellini rossi,xG sui Tiri in porta (xGOT),Tiri fuori,Tiri fermati,Tiri dall'area di rigore,Tiri da fuori area,Pali colpiti,Palloni toccati nell'area avversaria,Passaggi filtranti riusciti,Fuorigioco,Punizioni,Passaggi lunghi riusciti,Passaggi lunghi totali,Passaggi lunghi %,Passaggi offensivi riusciti,Passaggi offensivi totali,Passaggi offensivi %,Cross riusciti,Cross totali,Cross %,Assist previsti (xA),Rimesse Laterali,Falli,Tackles riusciti,Tackles totali,Tackles %,Contrasti vinti,Respinte difensive,Palle intercettate,Errori che hanno portato al tiro,Errori che hanno portato al gol,Parate,xGot affrontati,Gol evitati,Gol di testa
1,24.08.2025,Atalanta,Casa,Pisa,1-1,N,Totale,1.91,66,21,6,3,10,477,552,86,2,,2.04,12,3,14,7,1,44,1,0,10,33,53,62,121,157,77,10,32,31,2.01,22,9,8,12,67,57,23,5,0,0,2,0.67,0.67,
1,24.08.2025,Pisa,Trasferta,Atalanta,1-1,N,Totale,0.64,34,11,2,1,4,218,289,75,0,,0.67,6,3,7,4,0,13,1,2,9,37,70,53,44,80,55,6,15,40,1.07,13,10,9,17,53,62,32,8,1,0,5,2.04,1.04,
1,24.08.2025,Atalanta,Casa,Pisa,1-1,N,1° tempo,0.47,60,8,1,0,6,188,235,80,1,,0.37,5,2,5,3,0,16,1,0,3,19,31,61,40,60,67,3,13,23,1.04,14,5,3,7,43,26,15,4,0,0,2,0.67,0.67,
1,24.08.2025,Pisa,Trasferta,Atalanta,1-1,N,1° tempo,0.47,40,6,2,1,3,115,154,75,0,,0.67,4,0,4,2,0,7,1,0,5,20,38,53,27,47,57,4,11,36,0.82,9,3,5,7,71,29,16,7,0,0,1,0.37,0.37,
1,24.08.2025,Atalanta,Casa,Pisa,1-1,N,2° tempo,1.44,71,13,5,3,4,289,317,91,1,,1.67,7,1,9,4,1,28,0,0,7,14,22,64,81,97,84,7,19,37,0.97,8,4,5,5,100,31,8,1,0,0,0,0,0,
1,24.08.2025,Pisa,Trasferta,Atalanta,1-1,N,2° tempo,0.17,29,5,0,0,1,103,135,76,0,,0,2,3,3,2,0,6,0,2,4,17,32,53,17,33,52,2,4,50,0.25,4,7,4,10,40,33,16,1,1,0,4,1.67,0.67,
1,24.08.2025,Cagliari,Casa,Fiorentina,1-1,N,Totale,1.14,45,14,6,2,3,293,356,82,4,,1.01,7,1,10,4,0,25,0,1,14,26,43,60,66,89,74,5,13,38,0.88,18,18,7,12,58,39,27,3,0,0,0,0.78,-0.22,1
1,24.08.2025,Fiorentina,Trasferta,Cagliari,1-1,N,Totale,0.98,55,4,1,2,2,365,439,83,2,,0.78,2,1,2,2,0,10,0,4,18,15,47,32,51,92,55,4,9,44,0.85,15,14,12,18,67,54,16,6,0,1,4,1.01,0.01,1
1,24.08.2025,Cagliari,Casa,Fiorentina,1-1,N,1° tempo,0.17,44,5,2,0,3,153,185,83,2,,0.06,3,0,3,2,0,12,0,1,6,16,26,62,32,47,68,4,10,40,0.2,7,10,2,6,33,15,8,2,0,0,0,0,0,
1,24.08.2025,Fiorentina,Trasferta,Cagliari,1-1,N,1° tempo,0,56,0,0,0,1,211,247,85,0,,0,0,0,0,0,0,2,0,1,10,5,19,26,18,36,50,1,3,33,0.09,8,6,4,7,57,25,12,3,0,0,1,0.06,0.06,
1,24.08.2025,Cagliari,Casa,Fiorentina,1-1,N,2° tempo,0.97,47,9,4,2,0,140,171,82,2,,0.95,4,1,7,2,0,13,0,0,8,10,17,59,34,42,81,1,3,33,0.68,11,8,5,6,83,24,19,1,0,0,0,0.78,-0.22,1
1,24.08.2025,Fiorentina,Trasferta,Cagliari,1-1,N,2° tempo,0.98,53,4,1,2,1,154,192,80,2,,0.78,2,1,2,2,0,8,0,3,8,10,28,36,33,56,59,3,6,50,0.76,7,8,8,11,73,29,4,3,0,1,3,0.95,-0.05,1
1,24.08.2025,Como,Casa,Lazio,2-0,V,Totale,1.31,63,19,6,2,6,484,537,90,2,,1.88,12,1,12,7,1,32,1,0,12,21,32,66,96,124,77,4,15,27,1.18,24,15,18,25,72,59,8,10,0,0,1,0.29,0.29,
1,24.08.2025,Lazio,Trasferta,Como,0-2,P,Totale,0.25,37,5,1,0,0,260,309,84,3,,0.29,3,1,3,2,0,14,0,1,15,20,33,61,38,51,75,3,6,50,0.32,26,12,12,24,50,50,19,11,1,0,4,1.88,-0.12,
1,24.08.2025,Como,Casa,Lazio,2-0,V,1° tempo,0.58,69,8,2,0,3,278,306,91,2,,0.59,5,1,7,1,0,19,0,0,4,11,17,65,50,67,75,3,8,38,0.82,17,11,6,10,60,24,1,7,0,0,1,0.29,0.29,
1,24.08.2025,Lazio,Trasferta,Como,0-2,P,1° tempo,0.12,31,2,1,0,0,108,133,81,1,,0.29,1,0,2,0,0,12,0,0,11,8,16,50,18,24,75,2,3,67,0.21,10,4,5,12,42,28,11,8,0,0,2,0.59,0.59,
1,24.08.2025,Como,Casa,Lazio,2-0,V,2° tempo,0.73,57,11,4,2,3,206,231,89,0,,1.29,7,0,5,6,1,13,1,0,8,10,15,67,46,57,81,1,7,14,0.36,7,4,12,15,80,35,7,3,0,0,0,0,0,
1,24.08.2025,Lazio,Trasferta,Como,0-2,P,2° tempo,0.13,43,3,0,0,0,152,176,86,2,,0,2,1,1,2,0,2,0,1,4,12,17,71,20,27,74,1,3,33,0.11,16,8,7,12,58,22,8,3,1,0,2,1.29,-0.71,
1,23.08.2025,Genoa,Casa,Lecce,0-0,N,Totale,0.5,59,5,2,0,3,327,435,75,2,,0.71,2,1,2,3,0,6,0,0,13,16,54,30,40,80,50,0,10,0,0.22,19,16,15,23,65,60,24,6,0,0,0,0,0,
1,23.08.2025,Lecce,Trasferta,Genoa,0-0,N,Totale,0.37,41,7,0,1,7,207,294,70,3,,0,3,4,5,2,0,16,1,2,16,21,55,38,66,104,63,3,21,14,0.29,28,13,8,15,53,49,18,12,0,0,2,0.71,0.71,
1,23.08.2025,Genoa,Casa,Lecce,0-0,N,1° tempo,0.39,58,2,1,0,1,182,239,76,0,,0.66,1,0,2,0,0,5,0,0,7,8,29,28,21,38,55,0,4,0,0.18,8,5,4,8,50,27,14,3,0,0,0,0,0,
1,23.08.2025,Lecce,Trasferta,Genoa,0-0,N,1° tempo,0.27,42,5,0,1,5,120,169,71,2,,0,1,4,3,2,0,7,1,0,5,10,32,31,31,55,56,1,11,9,0.14,15,7,3,5,60,16,8,5,0,0,1,0.66,0.66,
1,23.08.2025,Genoa,Casa,Lecce,0-0,N,2° tempo,0.11,60,3,1,0,2,145,196,74,2,,0.05,1,1,0,3,0,1,0,0,6,8,25,32,19,42,45,0,6,0,0.04,11,11,11,15,73,33,10,3,0,0,0,0,0,
